Ad Spend ($),Website Visits,Social Media Interactions,Discount Offered,Converted
628.6679922671918,1127,440,0,1
254.00300986499784,285,466,0,1
3218.411015192524,438,318,0,1
1640.3443072740008,1039,146,0,1
2591.9963867070437,1807,211,1,1
4547.075722237856,812,445,1,1
1321.5319228294873,1898,322,0,1
2110.8763228745856,450,126,1,1
3802.2005788609385,673,163,0,1
1221.11101090895,816,434,1,1
477.20155816108564,1376,300,1,1
1519.7821192774634,968,72,0,1
889.9843075446216,1280,253,1,1
4655.518496478608,1302,34,0,1
4059.789859865643,902,99,1,1
3203.678406901075,1983,84,0,1
4370.156891919817,627,303,0,1
4037.993176805661,124,395,1,1
1014.1932885415756,484,400,1,1
4473.539092600891,152,219,0,1
2742.7769853866885,1495,484,1,1
4056.4567603039063,1777,427,1,1
4490.847369625117,813,356,0,1
1658.217027362133,787,26,0,1
639.2544301856161,855,137,1,1
1216.8822964555143,1379,436,0,1
2192.828164268656,147,452,0,1
4108.2723530202165,1923,373,0,1
4317.579857956083,847,260,1,1
134.06543960283443,1408,188,1,1
2602.661782630072,908,191,0,1
2145.313915429017,484,161,1,1
1188.3282713065782,496,34,0,0
687.3402999350458,1381,464,1,1
1754.314339877777,298,189,0,1
4720.257549171344,215,207,0,1
1683.6943669017007,1554,353,1,1
2642.0740465424938,1033,170,0,1
3544.7928985863714,1408,186,1,1
1881.7850516585404,1069,294,1,1
4861.732205332707,591,72,0,1
4815.991745216345,808,159,0,1
1333.7332495442843,1179,163,1,1
2536.5176788726885,1636,165,0,1
1574.3037181021714,130,379,0,1
1495.7184224495913,182,478,0,1
280.7460420372107,846,58,0,0
3086.8652365014946,949,464,0,1
2563.1272138214213,187,346,1,1
352.2458811249478,233,93,1,0
1465.367674759396,1474,370,0,1
4550.502841236603,1403,186,0,1
1273.8532642681648,834,157,0,0
809.9848732469932,1581,127,1,1
2498.3185253600586,1925,351,0,1
4929.687225141944,1033,485,1,1
1286.0708304063521,118,72,1,1
3393.4641822888047,595,198,1,1
3831.936115110716,1847,369,0,1
1264.4239655627584,102,58,1,1
3668.260108198112,1523,336,0,1
1902.1373503243408,254,266,1,1
3198.2985699085393,175,233,0,1
3204.295582728384,1820,150,1,1
2725.2959519663164,92,487,0,1
542.4198732666007,1825,224,1,1
4192.982228387265,1956,444,0,1
1671.8223183615055,160,388,0,1
1013.9407009592858,810,449,0,0
299.7981936183432,1736,220,0,1
2995.3754216223847,1256,327,1,1
3420.065373027184,897,41,1,1
181.28036174649515,144,167,0,1
2609.2559856664766,1447,294,1,1
1209.829298469896,1985,314,0,1
3261.346673006304,1593,438,0,1
954.3955021244581,949,486,1,1
3485.594916702083,409,295,0,1
1995.0031968726332,949,153,0,1
4689.976944809999,1769,433,1,1
773.8526263153669,330,28,0,1
1771.2251201462666,1268,27,0,1
656.0202540788864,1937,266,0,1
4630.998729564958,1268,87,0,1
4398.962831566807,716,380,1,1
1363.9139758042625,142,184,1,1
3333.9218255674773,721,203,1,1
4104.388780985957,110,485,0,1
2820.4839768373654,683,122,0,1
2695.287833944432,1124,123,1,1
1285.0762254122133,1476,231,0,1
556.2035622489061,1862,175,0,0
4496.3572139713015,1078,444,0,1
4512.0484801003195,1539,328,0,1
3202.197140639013,653,141,1,1
1761.2459761386333,731,394,1,1
1811.1269156020383,1902,273,1,1
3657.182826464173,583,422,0,1
4495.840273767628,1478,64,1,1
4446.7234788990745,887,368,1,1
3921.390174702357,1586,140,0,1
3245.95506615601,694,297,0,1
512.2858284757392,282,275,1,1
891.9806990636075,573,467,1,1
4502.915523782688,395,476,1,1
3071.5023923319904,1119,375,1,1
145.06555292148528,595,171,0,0
597.2105600435573,1151,389,1,1
3351.1586686294736,1803,490,1,1
124.80176084647157,1886,96,0,0
887.9594519457434,1996,64,1,1
2788.795567896272,1146,485,0,1
3490.286468694197,843,297,0,1
3294.6101715627424,298,187,0,1
1198.9196163567428,96,400,1,1
3589.6781846029257,1194,358,1,1
1262.5205287343204,263,17,0,0
1694.4585209804118,288,330,1,1
3757.807885078318,1129,322,1,1
3283.201205331352,399,256,0,1
4261.194711421472,156,332,0,1
3322.3031722716823,880,481,1,1
2884.712156343811,97,480,0,1
559.0063623576532,1646,452,1,1
1901.8074349912242,386,264,1,1
1399.4916016404547,1099,337,1,1
1295.5492525575096,853,63,1,1
4867.751718286983,1330,258,0,1
2026.178850867126,57,248,0,1
4471.028120367855,674,238,0,1
3192.579267386588,1940,76,0,1
3994.575387354077,1326,60,1,1
2562.9217562154413,1765,106,1,1
2926.8290346691597,768,101,0,1
2513.336699712433,352,273,1,1
1056.690640210418,688,427,1,1
3640.015364781376,105,300,1,1
1475.7845759601935,775,105,0,1
219.14823551412383,575,97,0,0
3262.8142499451224,523,87,0,1
967.8423290945399,77,297,1,1
4708.24706332928,127,129,0,1
4774.250027312678,1289,311,0,1
4582.835512080198,1459,409,0,1
1913.7776312516776,414,461,0,1
175.7374209914504,715,174,0,0
4648.760956679855,575,191,0,1
2198.1023267548403,748,478,1,1
4836.608613313981,1385,407,1,1
4821.7378877373385,932,232,0,1
4279.746331790065,1080,320,0,1
1542.7995711409699,1076,441,1,1
1986.9788701494338,1696,475,1,1
4270.569690432599,968,16,0,1
1652.9178252657605,799,339,0,1
930.5144587618532,412,272,0,0
2828.3261860459156,1824,170,0,1
4687.158393387826,1581,160,1,1
3510.5460037073676,1347,94,0,1
2893.2997334378883,1579,156,0,1
576.1648194767658,855,121,0,0
3113.5354108259316,788,390,0,1
4951.26386551089,1956,412,1,1
786.4116746589677,1088,45,1,1
2639.81529658231,1265,294,1,1
4399.128052446981,1704,197,0,1
3729.7662269956018,534,91,0,1
3515.377130876813,77,11,1,1
3542.1720115368353,763,394,0,1
1861.5066409768003,1112,312,0,1
1538.6000368960174,1346,206,1,1
4065.8696618447166,1304,413,1,1
4069.5556339279856,135,20,1,1
4348.654361042508,1547,243,1,1
4574.878707526709,175,395,0,1
2605.5777544185953,861,204,0,1
2557.429843967278,586,480,1,1
4011.646376937198,194,128,0,1
3284.8232608110493,1598,405,1,1
3539.637698562746,1285,29,1,1
3999.384080236895,74,270,0,1
4461.026174906075,1653,302,1,1
1756.1762685725255,1467,431,0,1
1940.3564679357257,116,265,0,1
560.5115052202581,282,231,0,1
2933.5726908812526,158,402,0,1
276.1171416040362,1219,235,1,1
2381.4302888490547,160,62,0,1
2758.9587100671256,277,437,1,1
1504.0521354285936,160,364,1,1
2995.082976788153,1543,351,1,1
249.4512247013422,83,373,1,1
283.00612487115063,672,289,0,0
4130.742747232325,1849,90,0,1
1864.9341429151882,1442,211,1,1
722.5965119942355,797,167,1,1
2658.9919742685415,644,129,0,1
3872.968410183193,1627,68,1,1
1157.5230347345316,474,224,0,1
3152.163331513101,662,137,1,1
518.2025784694631,1591,233,0,0
353.2404337261777,741,218,1,0
2703.637694683925,1355,379,1,1
2749.112095889522,1393,124,0,1
3223.4065173412123,1811,218,1,1
3657.8475352410414,1516,23,1,1
4881.6751893664195,364,18,0,1
2629.8717066758572,926,49,1,1
1682.4867174121052,1814,459,0,1
3996.412354366648,1450,246,0,1
1427.0780311841636,1362,290,1,1
2250.959961457617,1510,368,1,1
484.4362685771032,711,210,1,1
224.2186427357418,326,255,1,1
4816.977231921833,1783,287,1,1
4196.302590509808,1655,244,1,1
3510.27360985912,1576,13,1,1
2103.8694276299225,673,163,0,1
949.1421683471443,565,451,1,1
866.5415090883216,1423,38,0,1
1326.190201006517,892,118,1,1
2791.2106570599904,1519,107,1,1
3601.5200212303052,1903,224,0,1
3334.967145916883,399,302,1,1
1471.67609503512,1680,84,1,1
4778.839875249651,1737,335,0,1
3715.6948918092658,872,155,1,1
2816.3348573058634,1210,137,1,1
3097.431656548326,808,350,1,1
2156.0403058961706,948,51,0,1
1313.8818485556715,292,365,1,1
1844.2661253911817,592,50,1,1
3813.4459412754086,1113,431,1,1
170.52809428580377,278,43,1,0
668.7559384838895,597,26,0,0
325.41294590658845,969,174,0,0
299.5711313629537,1296,162,1,1
4291.756861653936,55,495,1,1
3547.923510962116,1395,387,0,1
2423.4517625278936,517,85,0,1
579.3873871899073,1805,96,1,0
2508.9177880724787,124,126,0,1
2420.0116768247717,53,371,1,1
948.6891625590744,1920,351,0,1
2225.873081266068,695,478,0,1
2052.6731985471297,167,36,0,1
3117.6654804558607,930,322,0,1
3211.958889251455,1679,296,1,1
321.98964788301816,553,143,0,1
1935.601811669709,996,228,0,1
3166.7135869997583,623,177,1,1
2565.3676670424297,1514,107,0,1
4296.800221822779,243,277,0,1
3327.5987949328305,896,246,1,1
898.3786926990055,764,318,0,1
445.78686226210624,1465,464,1,1
3247.8544632109465,1099,403,1,1
229.9054216539469,1508,182,1,1
2970.30034823997,222,410,1,1
4707.128182982292,1373,419,0,1
2919.823471591807,1718,478,1,1
2002.0326384119574,375,485,0,1
3252.1122703675305,1483,199,0,1
2345.4391634084313,1191,131,0,1
2773.522267648081,885,55,0,1
4713.177563004973,1860,73,0,1
1991.9029252237938,773,139,0,1
4809.833762737179,274,319,0,1
4536.218145584712,581,372,0,1
1059.3765604675525,162,202,0,0
439.8703742883107,189,316,0,0
593.8122067493906,608,190,1,1
189.28694569259366,50,301,1,1
562.7705077040491,139,380,1,0
3446.7331897401486,703,291,0,1
448.82437745512203,369,38,1,0
1662.9805884394304,1623,158,1,1
4239.889023750327,1878,276,1,1
214.03248510554675,1967,305,0,0
4090.8955646857853,188,20,0,1
1481.0883963896597,1584,173,0,1
679.0076553461156,1941,122,0,1
3514.012110284338,894,196,1,1
3181.8199492214317,308,304,1,1
4399.6128662825595,1746,241,1,1
3701.8481146390404,951,236,1,1
4037.056558885758,739,319,0,1
1481.9694055994019,59,107,0,0
969.4537645206418,310,64,0,0
3778.012283040206,1992,120,1,1
4053.4902224095936,1723,161,0,1
4953.475195803299,221,255,0,1
2121.8266168659898,947,415,1,1
1922.8886203846375,62,78,1,1
3904.4235076357845,1241,321,0,1
1769.9373472397874,1715,298,0,1
4660.710895457467,1669,259,0,1
4306.222484030758,370,45,0,1
2202.07073413759,1392,248,0,1
3779.2682321783373,1686,157,0,1
3797.2600830149436,378,476,1,1
605.3069572960698,834,236,1,1
4522.509242729877,826,253,1,1
2575.7366249945,960,346,0,1
4149.641583927934,1993,455,1,1
1668.2430450499976,1623,374,0,1
4488.063819631382,1492,491,0,1
2007.0882257973992,1679,210,1,1
153.10449225346196,1168,163,0,0
4536.3716844543915,1890,459,0,1
547.3047162520545,1654,82,1,1
1664.636824193033,367,210,1,1
4755.303638548944,285,305,1,1
4757.9750199940245,383,26,0,1
2909.845651804102,1958,138,1,1
3196.0023396320166,425,226,1,1
2297.3830576937667,1532,70,0,1
1536.732781320516,1210,436,1,1
1710.4562723125882,637,113,1,1
3395.340434777488,1620,51,1,1
3786.635194244632,562,34,0,1
3978.737314256658,1369,48,0,1
3969.128899693314,1393,300,0,1
546.9099049385828,967,140,0,0
2522.659493042649,1645,238,1,1
382.037924081557,1905,117,0,1
2792.691523386304,1422,181,0,1
2263.4994567295475,1913,444,1,1
4449.750495515669,1852,487,1,1
1819.4835615051857,922,111,1,1
673.6283804952687,1302,363,0,1
800.6592420588956,319,21,0,0
3831.402095415614,1901,284,0,1
3129.2685102496794,847,110,1,1
595.5011130016721,1364,53,1,1
512.1233499634875,774,452,0,1
3534.748744149688,1238,314,1,1
456.5387311845483,54,454,1,1
4127.114290522745,900,26,1,1
3560.5869130668316,1452,339,0,1
498.60902514530886,127,66,1,0
515.7047990174403,1483,320,1,1
4934.533934655759,623,312,0,1
1933.9268992049895,181,21,0,1
1916.1465206277655,650,327,1,1
4082.7178795617624,1822,89,1,1
4741.518029180907,1115,225,0,1
4931.405212732067,138,348,0,1
3791.553107768814,451,273,1,1
1943.6719691014873,345,488,1,1
509.15351182347695,1913,158,1,1
3908.0198880444404,1368,90,1,1
2836.1808237054447,665,224,0,1
2178.687845310184,1599,494,1,1
4541.136486964207,849,383,1,1
644.8676633001415,1764,473,0,1
2513.8630110252097,1710,207,1,1
155.63285936035345,471,209,0,0
2396.4371457712186,1938,34,1,1
375.886050841003,1096,475,1,1
682.2077897135524,624,98,0,0
675.878609207814,192,277,0,0
3281.1304803687117,1042,152,1,1
3755.6199084005743,714,68,1,1
2958.506948976082,194,419,1,1
4814.645487525256,1298,498,0,1
1936.86583966615,1056,374,1,1
1499.9892227811176,552,35,0,1
4356.135728128355,870,56,0,1
1195.619608745318,1689,297,1,1
4819.790443258996,153,275,0,1
159.55692598010006,1112,25,1,1
4852.4062508674315,247,208,1,1
311.483568557823,1719,410,1,1
4466.601257120548,628,416,1,1
2685.735434522869,440,291,1,1
4965.527500984572,1252,478,0,1
461.6031672034544,603,95,0,0
2813.885993566472,1521,259,1,1
4849.582424533585,1573,400,1,1
2663.1794364337293,1088,279,0,1
3184.0533268627864,1696,344,0,1
3509.168576024624,1742,126,0,1
2327.251217362089,1362,16,0,1
3175.034592411911,527,146,1,1
2963.140128423191,1304,380,1,1
4515.674251405846,972,185,0,1
322.68726367314355,469,337,1,1
1476.7196290019285,206,324,0,1
4757.016271975138,599,224,1,1
4462.29254106549,1514,486,0,1
2332.718088649993,1170,91,1,1
3138.64972922753,1070,232,0,1
1459.1677966075501,1046,487,0,1
1021.7936826464304,1484,381,1,1
2372.1221842059126,1000,432,0,1
1831.425917327659,338,492,1,1
2959.914948069273,1327,411,1,1
480.8997211284257,245,452,0,0
4874.534557564216,647,499,1,1
4932.432647950054,1907,112,1,1
