고객ID,가입일,구독기간(개월),구독상태,서비스이용횟수,월평균이용시간(시간),결제금액,할인사용여부,추천가입여부,고객유형
49,2022-02-18,18,0,7,18.410304607301192,16378.469986264918,1,0,일반
50,2022-02-19,26,0,44,11.071453591222692,13348.081018950345,1,0,일반
51,2022-02-20,34,1,15,7.501125191417426,12020.296513412131,0,0,일반
52,2022-02-21,10,1,19,25.638631689243542,14637.073947988572,0,0,일반
53,2022-02-22,14,0,43,26.698714547586604,14226.24960635624,0,0,일반
54,2022-02-23,31,1,47,22.015440017994216,9700.375471035695,1,1,일반
55,2022-02-24,15,1,44,12.359542184061569,28542.307923598964,0,1,프리미엄
56,2022-02-25,8,1,35,9.350011748908502,19039.354572360986,0,0,프리미엄
57,2022-02-26,14,1,17,5.67751344780107,16221.951229210574,0,0,프리미엄
58,2022-02-27,23,1,35,14.394548239220269,15449.400556254865,1,1,프리미엄
59,2022-02-28,21,1,19,9.94146435251036,21011.74309810948,0,0,프리미엄
60,2022-03-01,16,0,20,2.9069030470895463,25377.851811547465,0,1,프리미엄
61,2022-03-02,18,1,36,26.513450123530482,18425.42686006287,1,1,일반
62,2022-03-03,24,1,35,6.8093613851503285,15605.963523921604,0,1,일반
63,2022-03-04,26,1,32,29.839226814307338,22363.220359888084,0,0,프리미엄
64,2022-03-05,25,1,48,,,1,0,일반
65,2022-03-06,29,1,44,,,0,0,프리미엄
66,2022-03-07,15,0,40,36.653090460600914,20005.054600159187,1,0,VIP
67,2022-03-08,1,1,24,7.141973659354752,13067.6043106287,0,0,프리미엄
68,2022-03-09,25,0,17,28.737719960487958,4620.828012970513,1,1,일반
69,2022-03-10,7,0,7,17.023574269785705,,0,1,일반
70,2022-03-11,9,1,43,45.7107015662954,18865.00464689693,1,1,프리미엄
71,2022-03-12,24,1,1,16.192055688607905,18512.754488590894,0,1,VIP
72,2022-03-13,1,0,35,14.576916638743818,21713.350547063008,0,0,일반
73,2022-03-14,8,1,32,24.255357748572663,13015.844830652439,1,1,프리미엄
74,2022-03-15,24,1,36,17.910914677913603,22904.626214733817,1,0,프리미엄
75,2022-03-16,11,0,13,12.415370377001308,15925.339152259805,0,0,일반
76,2022-03-17,17,1,6,10.297232160641625,18022.0658128184,1,0,프리미엄
77,2022-03-18,8,1,14,34.58204488387403,19518.063791471526,0,1,일반
78,2022-03-19,35,1,37,8.365383681000083,8091.6718655315135,1,1,일반
79,2022-03-20,35,0,48,22.230875603805,9975.514036865377,0,0,일반
80,2022-03-21,33,1,15,30.561841396260952,9809.547414663772,1,0,프리미엄
81,2022-03-22,5,1,47,31.04494985442633,20361.085924244097,0,0,프리미엄
82,2022-03-23,28,1,4,13.983475978185602,,0,0,일반
83,2022-03-24,7,0,40,17.938151993742373,25137.90986662359,0,0,프리미엄
84,2022-03-25,9,1,16,15.998064989856273,15016.879874461294,0,1,프리미엄
85,2022-03-26,8,0,28,4.649812373341252,7643.130759592494,1,1,프리미엄
86,2022-03-27,12,1,16,25.37517383020115,11637.91244647408,1,0,일반
87,2022-03-28,34,0,4,20.38503645634809,15586.881816096638,1,1,일반
88,2022-03-29,33,1,45,34.40585080601879,17575.949320967396,0,0,일반
89,2022-03-30,23,1,26,11.767949026985772,10075.811359588131,0,1,프리미엄
90,2022-03-31,24,1,28,30.886965586176956,17842.403859031354,1,0,일반
91,2022-04-01,35,0,32,31.592341502842046,19177.713785229782,1,1,VIP
92,2022-04-02,22,1,45,20.470716868078874,11795.262002223348,0,1,프리미엄
93,2022-04-03,27,1,2,1.7086157083366906,24845.786060295737,1,1,프리미엄
94,2022-04-04,35,1,31,14.874323425557098,12336.704883247217,1,0,프리미엄
95,2022-04-05,1,1,3,37.85871124304117,10000.609628922284,1,1,일반
96,2022-04-06,35,1,8,22.970557714919096,7353.887426367296,0,0,프리미엄
97,2022-04-07,14,1,24,26.93399705871886,21103.203493460813,0,0,일반
98,2022-04-08,3,1,15,19.108334183650317,15114.414386729515,0,0,프리미엄
99,2022-04-09,1,1,43,17.765570901368715,12603.570052678053,1,1,프리미엄
100,2022-04-10,5,1,31,1.3265543130049373,7629.307822840864,0,1,프리미엄
101,2022-04-11,26,1,9,27.94739217055307,13053.745382165182,0,0,프리미엄
102,2022-04-12,14,1,39,30.796812047223767,26907.226938380558,1,0,일반
103,2022-04-13,27,0,45,10.491377145333118,4277.562481194413,0,1,일반
104,2022-04-14,9,1,2,18.211448784916925,11841.70799483725,0,0,프리미엄
105,2022-04-15,15,1,8,,23963.919850211052,1,0,일반
106,2022-04-16,15,1,7,24.20153293986286,21244.865235347614,1,0,일반
107,2022-04-17,26,0,44,14.55636418490905,12146.871658593593,1,1,일반
108,2022-04-18,13,1,39,29.313409231830022,16017.97548467653,0,0,일반
109,2022-04-19,32,1,42,20.71324316124489,17314.687023472048,1,1,일반
110,2022-04-20,32,1,16,5.4942305558469755,15669.192909036337,1,0,프리미엄
111,2022-04-21,4,0,35,24.427202751926433,23922.25104804588,0,0,프리미엄
112,2022-04-22,30,1,30,29.963509875907842,16698.771027289768,1,0,일반
113,2022-04-23,23,1,10,8.479383397350613,20677.58145481519,0,0,VIP
114,2022-04-24,15,1,38,24.087269349745743,15907.993845478077,0,0,일반
115,2022-04-25,29,1,18,38.2995966975421,4838.055936367673,0,0,일반
116,2022-04-26,13,1,5,21.120663751782388,9037.936233217582,0,1,프리미엄
117,2022-04-27,32,1,29,31.416288643294894,10075.610753469875,0,0,프리미엄
118,2022-04-28,7,0,39,15.578450297634799,13753.57071361997,1,1,일반
119,2022-04-29,22,1,34,19.82035711542844,25392.071195071956,0,1,VIP
120,2022-04-30,28,1,43,17.953787120736546,16812.057314377256,1,1,VIP
121,2022-05-01,2,0,45,16.128795736524435,14471.059489676174,1,1,일반
122,2022-05-02,6,0,23,18.522779549169236,21192.789980778238,0,0,일반
123,2022-05-03,28,1,5,3.6931821907568256,7740.581622491258,0,0,프리미엄
124,2022-05-04,28,1,30,16.691198656167035,12551.524149258807,1,1,일반
125,2022-05-05,20,1,6,33.37806455426785,11813.356730299796,1,1,일반
126,2022-05-06,30,1,46,10.363099431481666,16990.20779734069,0,1,프리미엄
127,2022-05-07,11,1,44,9.338667285266895,19479.181461769833,0,1,일반
128,2022-05-08,28,1,4,20.61212371394755,17357.42776013615,1,1,일반
129,2022-05-09,25,0,29,21.111831433572444,17436.58241609456,0,0,일반
130,2022-05-10,33,1,23,23.774647190539863,13194.454403910271,1,1,프리미엄
131,2022-05-11,1,1,6,18.86261426815361,16603.799290580697,1,0,일반
132,2022-05-12,27,0,32,20.718641644583336,10800.810646098049,0,0,일반
133,2022-05-13,13,0,42,16.491152263710006,18370.694675038998,0,0,일반
134,2022-05-14,3,1,18,7.242038447000358,12496.984976683396,0,0,일반
135,2022-05-15,6,1,15,19.28608131689349,9392.45219849813,1,0,VIP
136,2022-05-16,8,1,40,27.24596996442464,15189.097179160426,0,1,VIP
137,2022-05-17,27,1,32,25.150546263523342,5434.419178276559,0,1,일반
138,2022-05-18,9,1,9,2.5575787306071263,22371.850359980035,1,1,프리미엄
139,2022-05-19,33,1,37,22.519253633090827,18985.494984558492,0,0,프리미엄
140,2022-05-20,24,1,10,11.072304741428308,16684.84925123901,0,1,프리미엄
141,2022-05-21,15,1,20,33.92164005221382,6881.576273026249,1,0,일반
142,2022-05-22,32,0,6,23.262697829283802,11499.049084632927,0,1,일반
143,2022-05-23,32,1,48,28.962839601306065,15202.79217435926,1,0,프리미엄
144,2022-05-24,24,1,3,20.2116814441486,13684.476144873963,1,0,일반
145,2022-05-25,12,1,42,19.339450011025228,6557.175172762638,0,0,일반
146,2022-05-26,2,1,11,34.95844917653247,8417.854972319295,0,1,프리미엄
147,2022-05-27,3,1,43,29.727743966250163,13584.528015432108,0,0,VIP
148,2022-05-28,17,0,17,21.178586522475477,8583.553007080838,1,0,일반
149,2022-05-29,2,1,32,18.00333573862602,21856.93661941631,0,0,프리미엄
150,2022-05-30,2,1,4,2.928252744691303,17472.69179702916,1,0,일반
151,2022-05-31,28,0,4,23.2456753487414,10982.679453804845,1,1,프리미엄
152,2022-06-01,23,0,17,18.738960306802852,20845.774140078567,0,0,일반
153,2022-06-02,32,1,41,25.53956047082276,19838.532943368446,1,0,일반
154,2022-06-03,33,0,19,28.578188415347864,16444.791781934597,0,0,일반
155,2022-06-04,1,1,5,32.32921095047247,14802.068832680228,1,0,일반
156,2022-06-05,19,0,32,23.369929108944042,13507.630958850801,1,0,일반
157,2022-06-06,2,1,22,9.536395348717948,12300.306461091717,0,1,일반
158,2022-06-07,26,0,6,1.4931355091813323,8316.040403960731,0,0,프리미엄
159,2022-06-08,32,1,35,11.753001396432085,22641.643775489996,1,0,일반
160,2022-06-09,6,1,22,33.33488499505068,12397.433906143917,1,0,프리미엄
161,2022-06-10,32,1,1,38.23491469299441,15141.003048561664,1,0,일반
162,2022-06-11,4,0,20,17.620992482308246,10448.760718496906,0,0,프리미엄
163,2022-06-12,11,1,22,5.390407457176487,13702.74741695335,0,0,일반
164,2022-06-13,17,1,48,13.515864249971601,29253.887119348714,0,0,일반
165,2022-06-14,24,1,11,31.37805822697871,11370.010481273865,1,0,일반
166,2022-06-15,5,0,13,14.089868264728933,22242.978872707758,0,1,일반
167,2022-06-16,34,0,42,25.891239476675143,14860.972414230504,0,1,프리미엄
168,2022-06-17,6,1,3,21.685583012980352,18399.69231747323,1,1,프리미엄
169,2022-06-18,22,1,9,27.10003259037054,21222.901276981258,1,0,일반
170,2022-06-19,11,1,12,38.18010998947038,16361.336922029988,0,1,일반
171,2022-06-20,16,1,23,25.897814755343383,13241.46421809855,0,1,일반
172,2022-06-21,33,1,14,21.469162766379295,14069.545108587803,1,1,일반
173,2022-06-22,9,0,33,39.28373565808919,14237.85759176831,0,0,프리미엄
174,2022-06-23,6,1,18,23.495521016250613,24321.852784577066,0,0,일반
175,2022-06-24,16,0,49,12.070525026683994,7579.371114198047,0,0,일반
176,2022-06-25,29,1,41,26.874652897694855,6146.365211036036,1,0,일반
177,2022-06-26,3,1,9,24.474555421329704,6479.735414011164,1,0,일반
178,2022-06-27,20,1,23,16.920976577294002,10530.342832137885,0,1,일반
179,2022-06-28,19,0,10,14.824139475337265,18500.41538599181,0,1,일반
180,2022-06-29,26,0,19,17.01740512685092,18807.09646202099,1,0,일반
181,2022-06-30,3,0,47,14.681106424982433,11962.486792966462,1,0,일반
182,2022-07-01,19,0,5,17.34240181287108,14857.542361700802,1,0,일반
183,2022-07-02,20,0,47,11.572033977581386,9418.506824560827,1,0,프리미엄
184,2022-07-03,32,1,23,23.86154688159816,9882.23856296816,1,0,일반
185,2022-07-04,7,0,30,23.112013139588193,17899.334195057727,1,0,일반
186,2022-07-05,33,0,25,23.452017772294692,20238.420305541986,0,0,일반
187,2022-07-06,18,1,28,19.37630660563346,12615.905877849287,0,1,일반
188,2022-07-07,1,1,34,18.223367439749378,23175.075604154015,0,0,일반
189,2022-07-08,11,1,45,34.42005797653515,19828.02674393055,1,0,프리미엄
190,2022-07-09,28,0,48,20.67405886837803,22958.629261277754,1,0,프리미엄
191,2022-07-10,25,1,47,32.637668460554764,13495.309654525408,1,0,일반
192,2022-07-11,23,0,25,10.035840168336865,22603.431228163226,0,0,프리미엄
193,2022-07-12,31,0,10,25.891778342013787,25897.713199878875,0,1,일반
194,2022-07-13,30,1,14,12.652969633399843,12937.412333219903,0,0,일반
195,2022-07-14,35,0,42,14.438480717066657,14229.15480815957,0,0,VIP
196,2022-07-15,7,1,46,15.880941600724485,10261.407487968005,1,1,프리미엄
197,2022-07-16,16,1,30,15.254010313962215,9278.924519195862,1,0,VIP
198,2022-07-17,26,1,41,15.303953435181493,9337.243293668525,0,0,일반
199,2022-07-18,2,1,25,32.17275089890565,10942.669341063538,0,0,일반
200,2022-07-19,1,0,14,20.4541117311764,16373.689894927857,1,1,일반
201,2022-07-20,12,1,35,22.250553892096093,11154.002302893243,0,0,프리미엄
202,2022-07-21,5,1,48,15.428400364485505,16220.812772934341,1,0,일반
203,2022-07-22,32,1,34,28.569393037181086,16324.225755974761,0,1,프리미엄
204,2022-07-23,9,1,10,23.550562782389196,12649.378030628106,0,0,일반
205,2022-07-24,35,0,35,16.910713556502618,14686.814477153473,0,0,일반
206,2022-07-25,19,1,11,4.157161073733569,12360.438036568436,0,0,프리미엄
207,2022-07-26,16,0,11,22.162964584018706,13446.301133617739,1,1,프리미엄
208,2022-07-27,3,1,21,25.756795225354583,10955.685127678926,0,1,일반
209,2022-07-28,20,1,21,10.211521616766536,15420.523448914082,0,1,VIP
210,2022-07-29,24,0,22,17.046053813008378,11997.270672700834,0,1,일반
211,2022-07-30,33,1,45,25.37160501460956,9169.670620311023,0,1,일반
212,2022-07-31,24,0,7,4.290719428782326,17967.144444242687,0,1,프리미엄
213,2022-08-01,11,1,17,13.511478165901103,18136.456006427317,1,1,VIP
214,2022-08-02,8,1,2,23.769089416264013,20558.492678220537,1,0,프리미엄
215,2022-08-03,20,1,12,,9878.013126979107,1,0,프리미엄
216,2022-08-04,35,1,42,41.85779812271167,12595.363466445066,0,0,프리미엄
217,2022-08-05,25,1,18,39.5865476836709,16152.477025448614,0,0,VIP
218,2022-08-06,35,0,11,21.437694823160093,12489.800615938699,0,1,일반
219,2022-08-07,25,0,16,15.157731185180477,17854.559919039108,0,0,프리미엄
220,2022-08-08,29,0,49,29.23122267770886,17489.66443741968,1,0,프리미엄
221,2022-08-09,18,0,18,14.564070762763427,17396.47678095533,1,0,일반
222,2022-08-10,18,1,35,12.379047150543485,22298.33616652132,1,1,일반
223,2022-08-11,2,1,26,16.947339476348994,18220.385372292247,0,1,일반
224,2022-08-12,35,1,16,15.693266998228932,15769.455557407131,0,0,프리미엄
225,2022-08-13,16,0,6,24.126306230658756,14032.322567017316,1,0,일반
226,2022-08-14,33,1,44,13.975983778656389,,0,0,프리미엄
227,2022-08-15,4,1,43,20.85122057297815,9678.949230799633,0,0,일반
228,2022-08-16,33,0,47,35.949534514053205,6171.4490652498935,1,0,일반
229,2022-08-17,14,1,47,21.221407140740478,17318.78063865532,1,1,프리미엄
230,2022-08-18,21,1,48,35.167422881217774,21118.16468781533,1,0,일반
231,2022-08-19,20,0,42,32.02056601065949,13349.425383486316,0,0,일반
232,2022-08-20,8,1,12,25.92040236700633,22935.470795162986,0,0,일반
233,2022-08-21,7,1,13,16.458472100614795,14117.437834592649,0,0,프리미엄
234,2022-08-22,3,0,4,30.405079773491043,5231.140094434955,1,0,VIP
235,2022-08-23,17,1,39,17.50025081361926,19591.246268648014,0,0,VIP
236,2022-08-24,33,1,2,19.97990344973039,12603.558813809273,1,0,프리미엄
237,2022-08-25,12,1,26,23.30198674165594,20043.89338760007,1,1,일반
238,2022-08-26,22,1,27,19.946325276065185,8612.3625803418,1,0,일반
239,2022-08-27,22,1,27,12.797322815894631,17060.22081073825,0,0,일반
240,2022-08-28,30,1,15,4.729010850171306,10997.694582278438,0,0,일반
241,2022-08-29,8,1,8,29.59132930325479,16007.024332811778,1,1,일반
242,2022-08-30,27,0,7,25.703421268063607,18833.03347287678,1,0,일반
243,2022-08-31,27,1,47,2.793890075036579,17672.005006469426,1,1,프리미엄
244,2022-09-01,34,1,46,12.532126504631432,15346.839165150463,0,1,일반
245,2022-09-02,21,1,40,21.790654292733844,8107.704468938886,1,0,프리미엄
246,2022-09-03,30,0,12,24.42572353560568,18651.72090275883,1,1,VIP
247,2022-09-04,33,1,13,4.815463410329084,20157.152189978,0,1,프리미엄
248,2022-09-05,28,0,43,19.107613334575785,9785.014879217288,1,0,프리미엄
249,2022-09-06,33,0,17,25.396545952539643,10519.853928470002,1,1,프리미엄
250,2022-09-07,5,0,17,16.4848819810072,20367.78679016456,0,0,일반
251,2022-09-08,19,1,36,22.558296484343938,13957.79218715367,0,0,일반
252,2022-09-09,4,1,21,15.124481179555232,10649.43331297209,1,1,일반
253,2022-09-10,35,1,8,29.091963516995218,16362.772067596365,0,1,일반
254,2022-09-11,17,0,5,12.007142861337288,11807.378060227908,1,1,프리미엄
255,2022-09-12,28,1,26,8.579217609056201,15805.210657029906,1,0,VIP
256,2022-09-13,30,1,16,20.289268640615507,12933.96664576826,1,0,VIP
257,2022-09-14,29,1,36,5.664740277115044,13362.445899597278,1,0,일반
258,2022-09-15,6,0,28,1.0511118806279,20551.986919287257,0,0,VIP
259,2022-09-16,35,1,29,30.837352980540135,2657.3765993749657,0,0,일반
260,2022-09-17,24,1,47,10.157755184391812,17773.75377217622,1,0,프리미엄
261,2022-09-18,29,1,12,6.663484174161873,19727.253891332468,0,0,일반
262,2022-09-19,31,0,37,11.882412230503919,11890.029294111724,1,0,일반
263,2022-09-20,35,0,30,11.433493685892046,19688.82677181575,1,0,일반
264,2022-09-21,33,1,23,18.57888538836456,10204.88016579588,0,1,프리미엄
265,2022-09-22,21,1,16,9.065132663140332,11700.082271681862,0,1,일반
266,2022-09-23,32,1,14,24.98186142256155,11124.164782044825,1,0,일반
267,2022-09-24,23,1,10,26.462341311577152,19756.46081801292,1,1,VIP
268,2022-09-25,33,0,7,7.250085493844647,6275.261566660834,0,1,VIP
269,2022-09-26,3,1,45,13.819033770516125,23200.736130127872,1,1,일반
270,2022-09-27,18,1,37,14.76942759961414,13475.307169430554,1,0,프리미엄
271,2022-09-28,25,1,29,18.34992638633658,18074.56077078678,1,0,일반
272,2022-09-29,31,1,3,30.82683516983682,17643.539606818653,0,1,일반
273,2022-09-30,3,1,15,31.403134150026084,15756.158941032596,0,0,일반
274,2022-10-01,24,0,36,44.988673861657865,11996.569692612202,1,1,일반
275,2022-10-02,32,1,47,2.6937392915417817,21211.86281463927,1,1,일반
276,2022-10-03,22,0,46,10.75704276848371,12425.743671394479,0,1,일반
277,2022-10-04,23,1,19,38.14009181074984,11343.756711395477,1,0,일반
278,2022-10-05,2,1,13,1.9929968222316532,19388.551417617666,1,0,프리미엄
279,2022-10-06,27,1,42,37.91265064170706,15728.74809768435,0,0,프리미엄
280,2022-10-07,2,1,21,21.473512731432447,21789.107875581005,1,1,일반
281,2022-10-08,26,1,37,21.841327730225444,14686.664542722501,1,0,일반
282,2022-10-09,17,1,27,7.202020138805295,11745.623136521268,0,0,프리미엄
283,2022-10-10,33,1,29,15.488367799957032,16373.717365119493,0,0,프리미엄
284,2022-10-11,9,0,20,37.473763597099065,12761.914219562983,1,0,프리미엄
285,2022-10-12,29,1,25,19.52316864758773,11890.387443471473,0,0,일반
286,2022-10-13,26,1,6,15.55500971789795,19159.44096827937,0,0,일반
287,2022-10-14,35,1,36,24.05719196379236,24157.77533637514,1,1,프리미엄
288,2022-10-15,25,1,2,18.07782399697343,13767.691040407548,1,0,일반
289,2022-10-16,24,1,22,23.45151149806441,10126.294068570347,1,1,VIP
290,2022-10-17,13,0,32,11.502586678400787,14232.718250500906,1,1,프리미엄
291,2022-10-18,7,1,16,19.228473513918946,17574.006149479617,0,1,일반
292,2022-10-19,20,0,18,13.589237345592814,16287.397642387352,0,1,일반
293,2022-10-20,1,0,5,1.9603335930532246,20971.158472358562,0,0,프리미엄
294,2022-10-21,8,0,36,24.819577872476852,18325.4491913785,0,0,일반
295,2022-10-22,16,1,30,7.662271584444444,9482.952659450455,1,1,일반
296,2022-10-23,14,1,45,18.35259069895898,12533.408246796123,1,0,프리미엄
297,2022-10-24,12,0,19,29.26068245827911,8095.829400123373,0,0,프리미엄
298,2022-10-25,23,1,23,5.0218654345957,20723.39672815094,0,0,일반
299,2022-10-26,15,1,34,26.046840969496017,5040.563673642995,0,1,일반
300,2022-10-27,28,0,13,17.001865430313373,8583.338346888439,1,0,VIP
301,2022-10-28,34,1,43,10.33476599072936,12440.987669974134,0,0,VIP
302,2022-10-29,2,1,29,40.229232888860686,17819.587015524085,0,0,프리미엄
303,2022-10-30,32,1,36,19.994437042451647,12391.732931471743,1,1,VIP
304,2022-10-31,23,1,22,14.319071104232588,13173.85293142754,0,0,일반
305,2022-11-01,22,1,47,12.197870776335982,13272.3606336365,0,1,일반
306,2022-11-02,25,1,36,28.81162468436696,,1,0,일반
307,2022-11-03,22,1,9,13.879437735365885,,0,1,일반
308,2022-11-04,22,1,39,27.565180985410258,10264.114759759765,1,0,일반
309,2022-11-05,6,0,19,19.975201688768394,23404.618493979455,0,1,일반
310,2022-11-06,15,1,38,31.161880644338485,17011.99548598506,0,0,프리미엄
311,2022-11-07,33,1,6,9.57460552517116,18803.910859264226,0,0,프리미엄
312,2022-11-08,8,0,47,10.969367609039955,15290.142657276083,1,1,프리미엄
313,2022-11-09,5,0,15,17.189946859699315,14298.5987587863,1,1,일반
314,2022-11-10,4,1,20,18.01933502475224,17285.654730476403,1,1,일반
315,2022-11-11,6,1,9,16.454429713029896,18638.068418380666,1,1,일반
316,2022-11-12,32,1,32,46.314404054265175,19230.378373458596,1,0,프리미엄
317,2022-11-13,30,1,4,40.63247004351908,14367.202200903299,0,1,일반
318,2022-11-14,35,0,18,22.99055074821043,19776.882781391607,0,0,일반
319,2022-11-15,16,1,5,24.169720740504577,2668.9160558518925,0,1,일반
320,2022-11-16,13,0,20,17.63567819920419,19461.435048625608,0,0,프리미엄
321,2022-11-17,30,1,23,9.501744664818691,12865.47021628099,0,0,프리미엄
322,2022-11-18,19,1,11,18.179277594447477,17766.912231508486,0,0,프리미엄
323,2022-11-19,17,1,37,27.711177514620537,11753.361371520683,0,0,일반
324,2022-11-20,19,1,22,33.05626761568009,8366.527349611111,0,0,일반
325,2022-11-21,28,1,4,29.957084205227055,16698.520156583338,0,0,일반
326,2022-11-22,26,1,29,4.902257068457885,7492.347383394003,1,0,일반
327,2022-11-23,26,1,44,17.10772321846287,13001.612858886465,1,0,일반
328,2022-11-24,23,1,34,5.311324351340076,10937.851544479237,0,0,일반
329,2022-11-25,9,1,13,31.68843557402719,14124.837308532618,0,0,일반
330,2022-11-26,12,1,42,15.876156051996674,18986.045597986362,0,0,일반
331,2022-11-27,1,1,9,19.52889884368967,12550.773572727545,1,0,일반
332,2022-11-28,1,1,42,24.800502680050016,16572.887737063058,0,1,프리미엄
333,2022-11-29,34,0,31,47.661399198118986,18696.73019113544,1,1,VIP
334,2022-11-30,32,1,7,22.68274939789526,11963.724746031065,0,0,프리미엄
335,2022-12-01,25,1,4,17.61728962193748,12036.232356404487,0,1,일반
336,2022-12-02,1,0,19,7.5895787879636,21846.644511001054,0,1,일반
337,2022-12-03,16,0,42,34.58639448503105,14603.056801110464,0,0,프리미엄
338,2022-12-04,5,0,30,18.183635357029246,17545.693965659375,1,1,일반
339,2022-12-05,22,1,31,36.57142464927699,17507.80546179612,0,0,프리미엄
340,2022-12-06,29,1,35,31.056131129487234,9010.06196961011,1,0,일반
341,2022-12-07,3,1,21,15.370438973915283,11195.620619140025,1,0,VIP
342,2022-12-08,12,1,31,6.077238191440957,16876.7368177001,1,0,프리미엄
343,2022-12-09,26,1,19,22.72569117203607,4663.425566381782,0,1,프리미엄
344,2022-12-10,16,1,31,13.850964712283982,13943.511914807876,0,0,프리미엄
345,2022-12-11,22,1,32,20.393458424563057,10673.580638036088,0,0,일반
346,2022-12-12,29,1,2,30.490496068543376,,0,0,일반
347,2022-12-13,14,1,10,3.4641788437516645,16730.577265774748,1,1,일반
348,2022-12-14,28,1,2,22.646138440682137,20956.231486953384,0,1,일반
349,2022-12-15,5,0,2,27.59596190885737,14804.376832233236,1,1,일반
350,2022-12-16,30,1,24,28.08110561756063,14430.554036164887,0,0,일반
351,2022-12-17,5,1,17,6.36457828812577,13475.352404602176,1,0,프리미엄
352,2022-12-18,12,1,32,24.19336469773964,12484.653002224539,0,0,일반
353,2022-12-19,16,0,16,32.035365819066925,28423.281695279926,0,0,일반
354,2022-12-20,26,0,16,23.432337984000757,19035.84757896611,1,0,일반
355,2022-12-21,26,1,46,18.843057938914633,9669.057270316087,0,0,일반
356,2022-12-22,21,0,39,31.396129405734438,28196.544345810893,1,0,일반
