Ad Impressions,Watch Time (sec),SNS Shared,"Ad Type (0=Banner, 1=Video)",Clicked Ad
11,1.1394468986956041,0,0,0
46,22.37580115881036,0,0,0
16,16.479674382095222,1,1,1
1,1.7322315560752133,0,1,0
63,20.422676788814567,0,0,0
21,14.003462316935638,1,1,0
30,1.03383778275,0,0,0
13,29.08823180544286,1,0,0
34,28.473364292683215,1,0,1
4,15.387072484415928,0,1,0
28,2.8101726211773057,0,1,0
95,22.638636647957753,1,0,1
59,14.757933003171871,1,1,1
27,9.073424348681398,0,0,0
69,14.742545325856703,1,0,1
25,15.673324362163934,1,0,0
3,16.881350970670177,1,0,0
97,13.236711409659796,0,1,1
68,18.1726590941717,1,0,1
25,27.56204131819132,0,0,0
20,10.868042612957735,1,1,1
34,21.77149389659847,0,0,0
26,26.833576704726966,1,0,0
5,13.679378272798107,0,1,0
99,13.303675091457123,0,1,1
61,18.063509560643386,0,1,1
92,17.742202782674642,1,0,1
93,24.19768026978831,1,1,1
9,14.29450151334878,1,1,0
50,29.883688489183236,0,0,1
6,1.7841470660184233,1,0,0
83,0.09503545742105213,0,0,1
60,19.205949346788714,1,0,0
44,8.9530473708563,0,0,0
11,7.211471660984515,0,1,0
66,9.356972400128413,0,1,1
47,7.6814269531486286,1,1,0
73,0.9237014898134355,1,0,0
85,29.145991271717662,1,0,1
88,6.622364653583452,0,0,1
98,22.020892877679188,0,1,1
86,22.87789184082526,1,1,1
3,27.87772194021688,1,0,0
76,0.9164837128013992,1,1,1
92,26.16145015341023,0,0,1
30,15.816785425194006,0,1,0
90,18.976323298974837,0,1,1
21,19.33410831363101,0,1,0
28,24.593934149541827,0,0,0
90,10.002219664773316,1,1,1
62,21.9915356957998,0,1,1
33,15.857343291665913,0,0,0
85,23.801820429160433,0,1,1
35,29.716380983104003,0,0,0
52,6.019530522112837,0,0,1
34,29.839459246799937,1,0,1
41,2.6943646284832203,0,0,0
51,0.06952643714441598,0,0,0
47,1.3248580853349379,0,1,0
82,10.25347214210285,1,0,1
58,18.987189920353025,1,0,1
75,2.070886226635489,1,0,1
57,0.1699744358870181,0,0,0
23,28.112730853763843,1,1,1
48,24.65779907819789,0,0,1
22,24.27549513417093,0,1,1
17,26.532728265059312,1,0,1
69,21.001028183163132,0,1,1
11,3.1321238924424435,0,0,0
94,11.973005642211692,0,0,1
15,21.694484593938885,1,1,1
91,8.410033823745627,0,0,1
35,20.62219092408713,0,1,0
33,0.7349534480295705,1,0,0
84,9.184120226387796,0,1,1
16,16.47391008831518,0,0,0
34,18.96269488518727,1,0,0
66,17.311219933857323,0,1,1
99,20.932688282202886,0,0,1
40,0.1826624471951721,0,0,0
28,3.028235999325645,0,0,0
47,26.06832756837435,0,0,1
39,20.452459322704836,1,0,0
70,3.3879492805803393,1,0,1
73,25.262233121957376,1,1,1
20,7.266936534737008,1,1,1
1,14.347796525856705,0,1,0
72,4.3558953865398085,0,0,0
87,21.3033016926512,0,1,1
63,20.005632630428035,0,0,1
67,6.333374134984085,0,0,0
4,25.902023005710056,1,0,0
58,12.039180726591365,1,0,1
25,8.775452732122254,0,1,0
47,4.569887683936064,0,0,0
38,7.985040375466124,0,1,1
15,0.6608076367145099,1,0,0
63,17.497724773683466,0,1,1
21,25.266922390318438,0,1,0
99,16.469413483249255,0,1,1
57,6.578218857716271,1,1,1
53,1.0100753464161816,0,1,0
46,6.438842197764085,1,1,0
14,12.48364284213277,1,0,0
76,22.788342860993893,1,1,1
17,5.6352855761332235,1,0,0
39,21.593743600640583,1,1,1
9,26.00800405055651,1,0,1
99,13.618405443250712,0,1,1
77,24.6429597492778,0,1,1
79,16.639720441052866,0,0,1
82,19.11272511242715,1,1,1
97,15.78835381014608,0,1,1
6,13.895181502540252,1,1,0
91,7.03960325327548,1,0,1
23,9.095821783831381,1,1,1
59,8.69910356830827,0,0,0
91,16.89866792861444,1,1,1
98,3.5986107907166973,1,1,1
46,27.503750721070055,0,0,0
38,21.6196543584934,0,1,1
14,12.043368927395809,1,1,0
72,4.758724335791339,1,0,1
62,26.459765091649075,0,1,1
35,24.713342703034957,0,0,0
19,21.65164658151538,0,0,0
30,8.146411422337271,1,0,0
78,12.073399123010068,0,1,1
84,3.0824475735727006,0,0,1
25,5.671185741825951,0,0,0
40,23.490499119501987,1,1,1
88,21.451161565520515,0,0,1
14,17.80457288927804,0,1,1
26,26.871801777785187,0,1,1
87,17.49799553439136,0,1,1
22,14.009039998908321,0,1,0
48,10.21112238917288,1,0,0
83,28.213455172085176,1,0,1
51,2.481463845730605,1,0,0
3,27.92662116182425,0,0,0
42,24.80143979793055,1,0,0
19,3.8978977360710387,1,1,0
73,16.949530730257607,1,0,1
28,25.996439452472607,0,0,0
84,17.15427490821461,0,0,0
45,27.215994646818668,1,1,1
71,28.289514504481275,1,1,1
78,12.671535665529177,0,0,1
63,11.319409842189708,0,1,1
73,28.089634619074705,1,0,1
19,20.254201834490043,0,0,0
47,3.4806804404450786,1,1,0
14,1.268752476680436,0,1,0
38,16.938871529917893,1,0,0
53,27.905128963152737,1,0,1
61,25.32746107217455,0,1,1
36,20.275432393930092,1,0,1
40,4.173475466732626,1,1,1
81,7.626941512460867,1,0,1
30,26.265336796578485,0,1,0
9,5.484217099707013,0,0,0
64,8.353182247513036,0,0,1
33,3.8880195358632585,1,1,0
52,20.283246942432335,0,0,0
89,28.319469160896286,1,0,1
14,8.069040947861579,1,1,0
75,14.262198235502211,0,0,1
53,19.030192191336127,0,0,0
99,29.98398744646892,1,0,1
59,3.1442419499271637,1,1,1
78,14.957123985171275,0,1,1
94,11.553603597075002,0,1,1
41,25.974604956670653,0,0,0
68,14.279031930349678,1,0,1
68,3.3293257375544427,1,0,1
92,19.03272435859751,1,0,1
8,23.123418547916394,1,1,1
2,0.08643754996843778,1,0,0
86,25.768700562618886,0,0,1
41,5.580690000169969,0,0,0
55,16.562080939601337,1,1,1
16,12.473925020623504,1,0,0
93,21.58961449831591,0,0,1
62,11.134848443572254,0,0,0
48,26.092895300451325,0,0,0
30,21.914890828763706,0,0,0
12,19.431395131887644,1,1,1
35,23.887217866885628,0,0,0
11,22.62069104785147,1,0,0
64,1.0781602476466001,0,0,0
50,11.842030615344845,0,0,0
85,27.924218919494695,0,0,1
21,3.7717280697667865,1,0,0
69,22.112896512961537,1,0,1
48,29.23775434005989,0,0,0
20,1.565958871349149,1,0,0
67,20.465816418798315,1,0,1
44,14.044624239030911,0,1,1
33,17.375257661241665,0,1,1
73,2.560240094529745,1,1,1
61,1.2902085560081844,1,1,0
9,20.005999816527652,1,0,0
68,24.699282894621536,0,1,1
35,23.460460047989017,0,1,0
81,16.31417183598712,1,0,1
98,2.9960046340853452,0,1,1
88,20.641333315080416,0,1,1
96,7.256666506624379,1,0,1
65,27.332061083021507,1,0,1
8,25.147960786371147,0,0,0
45,21.281489012621726,0,1,0
87,28.465378674933913,1,1,1
47,0.9426546453381879,0,0,0
40,22.08601275182286,0,0,0
76,9.90728338009216,1,1,1
54,27.181976570590958,1,0,1
76,8.000255899859328,0,1,1
46,21.745694979450512,0,0,1
47,26.32941058952344,0,0,0
15,1.2497045514804728,1,1,0
19,11.929427387761084,0,0,0
26,22.86927096065816,0,0,0
52,13.647566685227613,1,0,1
93,8.01757889380786,1,1,1
22,6.594160464695701,0,0,0
21,3.9455480074913374,1,0,0
51,25.713886795688467,1,0,1
38,17.26066209754668,0,0,0
20,2.2915483497436795,1,0,0
29,11.477409707119063,1,0,0
51,11.032009524153297,0,1,0
4,5.45217572128389,1,1,0
55,13.06522876416572,0,0,0
71,9.962980961794093,0,1,1
92,10.254111164765476,1,1,1
28,22.17079673363876,1,0,1
4,6.697901565155889,1,1,0
22,19.25579876566066,0,1,1
76,17.119488716428044,1,1,1
45,17.04277537013602,0,1,1
67,19.89022038425328,1,1,1
86,16.451461085869617,1,1,1
66,26.377653445391537,1,1,1
88,20.267402758507796,0,1,1
34,16.408897541141645,1,0,0
91,24.892893608629347,1,0,1
55,18.18439694800439,0,1,1
1,8.73432743355537,0,1,0
72,6.212847545297136,1,0,0
87,4.569833569880364,1,1,1
38,26.98365637638305,1,1,1
6,21.304062953941976,0,0,0
86,28.12135314492962,0,0,1
25,18.09875417144829,0,0,0
82,14.202026444847377,0,1,1
17,1.7914946691266798,1,1,0
61,20.149268446380894,0,0,0
12,17.466262793046933,0,0,0
6,29.706266807628644,0,1,0
90,7.174763333467292,1,0,1
27,15.922120658605076,1,1,1
8,19.52872005354218,0,1,0
83,19.33773524227031,0,0,1
65,16.838806288452083,1,0,1
57,23.307840309816765,1,1,1
93,6.149436285804493,1,0,1
99,21.768816008232477,1,0,1
40,18.592037142992677,1,0,1
14,26.8822533538372,1,0,0
35,25.415833171007453,1,1,1
48,9.454411173976599,1,1,1
84,8.287119749254593,0,1,1
56,29.449599715573434,0,1,1
49,15.817955427457695,0,0,0
13,27.192628917433105,0,0,0
61,4.916430713414465,0,1,0
49,19.28456744400523,0,1,0
46,24.295805620817585,1,0,1
62,28.421857487593407,1,1,1
8,10.120204230510705,0,1,0
43,21.749435097721573,0,0,1
20,16.164390271188573,1,1,1
97,1.8188677819940458,1,0,1
90,20.699992119268302,1,0,1
39,20.702896747135302,0,1,0
85,27.91820414539611,1,0,1
49,14.919373385069171,0,1,1
64,6.90752762131544,0,0,0
62,1.3369147034603746,1,1,1
54,12.46926560057717,1,1,1
9,9.057501002325054,0,1,0
88,22.832649180716267,1,0,1
37,10.628032945231398,1,0,0
49,28.47213588944532,0,1,1
41,28.86930608963353,1,0,1
17,18.627257706531243,0,1,1
88,27.859808610446485,0,1,1
21,22.82563033543487,1,0,0
51,16.405789229253784,0,1,0
59,5.409238062683343,0,0,0
39,13.7579383054152,1,1,1
55,16.826233900878528,1,0,1
41,25.918847422050305,1,1,1
39,14.440001296069946,0,1,0
13,26.9302401803387,0,0,0
64,20.230469370704068,1,1,1
11,4.109971891610141,0,1,0
19,29.84944107975279,1,0,0
11,15.816979822617379,1,1,0
77,11.755748892272367,0,0,0
46,19.773412934085794,1,1,1
45,3.2667994194311722,0,0,0
1,19.09615940260063,0,1,0
40,14.947080014978189,1,1,1
19,12.200222099957493,0,1,0
76,28.590600635366975,1,0,1
72,15.676191501961597,0,0,1
72,6.573524384098153,0,0,1
61,13.76890438131896,0,0,0
12,27.58162213718018,1,1,1
61,5.28286413991784,0,1,1
33,6.418711160647107,1,0,0
45,0.39088703271251246,0,0,0
90,0.4257014818730154,0,0,0
92,24.881748808755376,1,1,1
69,21.963678205288673,1,0,1
8,10.651231693558747,1,0,0
25,20.94933471682718,1,1,1
91,11.856177789299107,1,1,1
46,28.586903879934827,0,0,1
87,29.011580442781046,0,1,1
30,11.783813274280302,1,0,0
47,25.62665719022604,0,1,1
87,23.192671250923986,0,0,1
49,9.299998115153679,0,0,0
47,6.961194867033179,1,0,0
84,13.747039511785015,0,0,1
82,23.440465218432188,0,1,1
18,28.80503354186236,0,1,0
66,22.907372065997176,1,1,1
68,25.6562095505511,0,1,1
94,18.091929185115497,0,0,1
33,25.062234925263777,1,0,1
36,23.532625740102528,1,1,1
82,11.309566257788402,0,1,0
19,16.559709063621632,0,1,0
28,24.142593659690846,1,1,1
40,1.3817020256986912,1,1,0
84,24.242378470674897,1,0,1
97,5.336643721470703,1,0,0
76,15.440508513643168,1,0,1
15,24.248263186678127,1,1,0
41,7.614632344700846,1,1,1
39,7.3742231791845905,0,1,0
2,12.082931953867556,1,1,0
63,26.839283927329035,1,0,1
29,0.013283443116236526,0,0,0
74,27.04149289925805,1,1,1
66,4.614210739248233,1,0,0
51,29.70259128202446,0,0,1
75,28.645409791154044,1,1,1
77,14.8402556877385,0,1,1
10,15.381607434378845,0,1,0
14,14.446480208275629,0,1,0
82,19.063309369785678,0,1,1
51,2.7216510670479312,1,1,0
73,0.9785384502469952,0,0,0
39,1.7310878524769657,0,0,0
28,13.330960477245432,1,1,1
3,8.266438176584503,0,0,0
84,18.661186871129814,0,1,1
70,29.77326868124337,0,1,1
27,11.589695192293977,0,1,0
2,17.2152376231354,1,1,1
93,12.468116877220064,0,0,1
38,25.41815003165578,1,1,1
3,27.067092103867143,1,0,0
16,26.3206683661578,0,1,0
94,29.231167160377726,0,1,1
40,0.8255755542124588,0,1,0
2,25.19448486436593,0,0,0
81,22.5531651911728,1,1,1
41,6.860832282010944,1,1,0
12,28.689602801625828,1,1,1
35,4.445337846898364,0,0,0
65,20.38649781401725,1,0,1
55,6.746706504477374,0,0,0
45,12.94141946322224,0,1,0
79,21.574796908337067,0,0,1
90,16.8997392609914,0,1,1
