date,visitors,clicks,conversions,conversion_rate
2023-03-07,1775,129,20,0.011267605633802818
2023-03-08,1516,196,7,0.004617414248021108
2023-03-09,837,240,12,0.014336917562724014
2023-03-10,1378,396,58,0.0420899854862119
2023-03-11,1576,304,44,0.027918781725888325
2023-03-12,4493,934,123,0.027375918094814156
2023-03-13,879,142,20,0.022753128555176336
2023-03-14,992,122,13,0.01310483870967742
2023-03-15,2562,338,19,0.00741608118657299
2023-03-16,4384,956,72,0.016423357664233577
2023-03-17,564,134,5,0.008865248226950355
2023-03-18,3068,760,138,0.044980443285528034
2023-03-19,2527,625,75,0.0296794618124258
2023-03-20,3195,232,19,0.00594679186228482
2023-03-21,1995,346,33,0.016541353383458645
2023-03-22,891,57,10,0.01122334455667789
2023-03-23,4974,932,36,0.007237635705669481
2023-03-24,4061,651,79,0.019453336616596897
2023-03-25,2778,755,80,0.028797696184305256
2023-03-26,3599,495,62,0.01722700750208391
2023-03-27,700,55,0,0.0
2023-03-28,3604,309,54,0.014983351831298557
2023-03-29,2954,710,132,0.04468517264725796
2023-03-30,4145,847,99,0.023884197828709288
2023-03-31,1304,98,13,0.009969325153374233
2023-04-01,3231,229,42,0.012999071494893221
2023-04-02,3273,737,106,0.03238619003971891
2023-04-03,2070,141,5,0.0024154589371980675
2023-04-04,3190,814,97,0.030407523510971788
2023-04-05,4340,983,123,0.028341013824884794
2023-04-06,1528,107,9,0.0058900523560209425
2023-04-07,1002,71,10,0.00998003992015968
2023-04-08,4993,1481,277,0.05547766873623072
2023-04-09,1370,196,36,0.026277372262773723
2023-04-10,4988,711,68,0.0136327185244587
2023-04-11,706,178,5,0.007082152974504249
2023-04-12,1984,569,112,0.056451612903225805
2023-04-13,1363,404,68,0.049889948642699924
2023-04-14,3290,784,26,0.007902735562310031
2023-04-15,1063,153,28,0.02634054562558796
2023-04-16,4691,332,58,0.012364101470901726
2023-04-17,2257,551,59,0.026140894993354008
2023-04-18,2178,412,50,0.02295684113865932
2023-04-19,3742,583,50,0.013361838588989846
2023-04-20,1559,431,8,0.005131494547787043
2023-04-21,2222,172,12,0.0054005400540054005
2023-04-22,3814,660,107,0.028054535920293656
2023-04-23,3657,193,2,0.0005468963631391851
2023-04-24,3125,522,38,0.01216
2023-04-25,3229,206,17,0.0052647878600185815
2023-04-26,2097,167,18,0.008583690987124463
2023-04-27,3560,282,52,0.014606741573033709
2023-04-28,3193,677,51,0.015972439711869714
2023-04-29,4127,976,74,0.017930700266537435
2023-04-30,1863,364,54,0.028985507246376812
2023-05-01,2481,720,69,0.02781136638452237
2023-05-02,2163,310,16,0.007397133610725843
2023-05-03,2029,246,23,0.011335633316904879
2023-05-04,2538,678,24,0.009456264775413711
2023-05-05,3802,402,17,0.004471330878485008
2023-05-06,2737,795,83,0.03032517354767994
2023-05-07,1806,95,8,0.004429678848283499
2023-05-08,4529,1324,243,0.05365422830646942
2023-05-09,3175,193,15,0.004724409448818898
2023-05-10,1782,486,58,0.03254769921436588
2023-05-11,1209,219,28,0.02315963606286187
2023-05-12,4913,1465,18,0.0036637492367189092
2023-05-13,4248,290,39,0.009180790960451978
2023-05-14,1163,219,9,0.007738607050730868
2023-05-15,2498,730,140,0.05604483586869496
2023-05-16,3945,713,27,0.006844106463878327
2023-05-17,4243,879,78,0.01838321942022154
2023-05-18,1995,446,11,0.005513784461152882
2023-05-19,3804,622,124,0.03259726603575184
2023-05-20,4263,881,92,0.021581046211588083
2023-05-21,2353,461,56,0.02379940501487463
2023-05-22,1791,493,11,0.006141820212171971
2023-05-23,4081,250,38,0.009311443273707424
2023-05-24,3957,475,23,0.005812484205205964
2023-05-25,2136,614,110,0.05149812734082397
2023-05-26,4196,1143,55,0.013107721639656816
2023-05-27,3499,573,26,0.007430694484138326
2023-05-28,3652,748,12,0.0032858707557502738
2023-05-29,1198,142,14,0.011686143572621035
2023-05-30,2660,258,30,0.011278195488721804
2023-05-31,4597,762,17,0.0036980639547531
2023-06-01,1354,187,29,0.02141802067946824
2023-06-02,3974,778,74,0.018621036738802214
2023-06-03,2207,153,16,0.007249660172179429
2023-06-04,3277,962,90,0.0274641440341776
2023-06-05,2233,662,57,0.025526197939991044
2023-06-06,4010,900,104,0.02593516209476309
2023-06-07,702,129,5,0.007122507122507123
2023-06-08,3755,478,21,0.00559254327563249
2023-06-09,4718,1195,207,0.04387452310300975
2023-06-10,4996,1105,209,0.04183346677341873
2023-06-11,1266,114,9,0.0071090047393364926
2023-06-12,4889,1357,83,0.016976886888934343
2023-06-13,2827,722,95,0.03360452776795189
2023-06-14,3431,986,86,0.025065578548528127
2023-06-15,697,161,2,0.0028694404591104736
2023-06-16,2430,494,19,0.007818930041152264
2023-06-17,4082,630,92,0.02253797158255757
2023-06-18,1108,313,42,0.03790613718411552
2023-06-19,3772,1005,15,0.003976670201484623
2023-06-20,1647,100,5,0.0030358227079538553
2023-06-21,4782,270,14,0.0029276453366792136
2023-06-22,3897,561,77,0.019758788811906593
2023-06-23,3011,760,10,0.0033211557622052474
2023-06-24,2294,680,20,0.008718395815170008
2023-06-25,1159,101,16,0.013805004314063849
2023-06-26,3311,657,28,0.008456659619450317
2023-06-27,1869,271,36,0.019261637239165328
2023-06-28,2486,727,40,0.016090104585679808
2023-06-29,646,168,4,0.006191950464396285
2023-06-30,3719,965,54,0.01452003226673837
2023-07-01,3411,570,83,0.02433304016417473
2023-07-02,2234,343,59,0.026410026857654433
2023-07-03,2343,277,46,0.019632949210414
2023-07-04,988,63,5,0.005060728744939271
2023-07-05,3476,925,126,0.03624856156501726
2023-07-06,2459,622,30,0.012200081333875559
2023-07-07,2885,865,56,0.019410745233968803
2023-07-08,3419,1022,184,0.05381690552793214
2023-07-09,2302,434,5,0.002172024326672459
2023-07-10,4561,1104,28,0.006139004604253453
2023-07-11,3869,1107,54,0.01395709485655208
2023-07-12,762,199,2,0.0026246719160104987
2023-07-13,1123,125,5,0.004452359750667854
2023-07-14,1516,246,29,0.01912928759894459
2023-07-15,4143,340,30,0.00724112961622013
2023-07-16,2549,735,132,0.05178501373087485
2023-07-17,4223,851,140,0.0331517878285579
2023-07-18,3608,386,28,0.007760532150776054
2023-07-19,4590,1000,59,0.012854030501089325
2023-07-20,2556,522,42,0.01643192488262911
2023-07-21,3670,512,62,0.016893732970027248
2023-07-22,2182,171,10,0.00458295142071494
2023-07-23,2755,600,77,0.0279491833030853
2023-07-24,1654,297,26,0.015719467956469165
2023-07-25,4999,1215,139,0.027805561112222446
2023-07-26,3691,664,61,0.016526686534814414
2023-07-27,2196,577,38,0.017304189435336976
2023-07-28,4491,844,160,0.03562680917390336
2023-07-29,2148,408,63,0.029329608938547486
2023-07-30,1945,523,19,0.009768637532133676
2023-07-31,4699,708,123,0.026175782081293893
2023-08-01,4423,369,37,0.008365362875876102
2023-08-02,753,43,7,0.009296148738379814
2023-08-03,3683,879,142,0.03855552538691284
2023-08-04,3057,626,56,0.01831861301929997
2023-08-05,598,135,1,0.0016722408026755853
2023-08-06,2700,278,16,0.005925925925925926
2023-08-07,3461,291,32,0.009245882692863335
2023-08-08,4933,264,34,0.006892357591729171
2023-08-09,4277,588,34,0.00794949731119944
2023-08-10,3369,665,24,0.007123775601068566
2023-08-11,3734,552,93,0.024906266738082484
2023-08-12,4291,683,134,0.031228151945933348
2023-08-13,1456,401,44,0.03021978021978022
2023-08-14,4567,625,26,0.005693015108386249
2023-08-15,660,117,7,0.010606060606060607
2023-08-16,4993,1227,16,0.0032044862807931104
2023-08-17,1800,268,49,0.02722222222222222
2023-08-18,4487,922,29,0.006463115667483842
2023-08-19,2027,538,64,0.031573754316724226
2023-08-20,1718,493,30,0.017462165308498253
2023-08-21,4996,433,49,0.009807846277021618
2023-08-22,3604,1015,135,0.037458379578246395
2023-08-23,3235,559,93,0.02874806800618238
2023-08-24,1454,166,8,0.005502063273727648
2023-08-25,3946,650,7,0.0017739483020780538
2023-08-26,1545,455,16,0.010355987055016181
2023-08-27,2193,379,68,0.031007751937984496
2023-08-28,3936,520,91,0.023119918699186993
2023-08-29,1062,221,27,0.025423728813559324
2023-08-30,2985,328,40,0.01340033500837521
2023-08-31,3854,265,36,0.00934094447327452
2023-09-01,725,59,2,0.002758620689655172
2023-09-02,1459,119,21,0.01439342015078821
2023-09-03,3567,313,28,0.00784973366975049
2023-09-04,1315,111,9,0.006844106463878327
2023-09-05,3620,760,82,0.022651933701657457
2023-09-06,516,49,0,0.0
2023-09-07,1743,237,9,0.0051635111876075735
2023-09-08,2705,741,111,0.041035120147874304
2023-09-09,3024,509,13,0.004298941798941799
2023-09-10,1569,340,42,0.02676864244741874
2023-09-11,3944,367,20,0.005070993914807302
2023-09-12,3065,300,25,0.008156606851549755
2023-09-13,1560,93,6,0.0038461538461538464
2023-09-14,2827,260,20,0.007074637424831978
2023-09-15,3920,469,68,0.017346938775510204
2023-09-16,801,75,4,0.004993757802746567
2023-09-17,4776,344,40,0.008375209380234505
2023-09-18,1106,88,8,0.007233273056057866
2023-09-19,3670,606,82,0.0223433242506812
2023-09-20,1199,121,22,0.01834862385321101
2023-09-21,1639,231,34,0.020744356314826115
2023-09-22,690,121,6,0.008695652173913044
2023-09-23,2800,623,9,0.0032142857142857142
2023-09-24,1480,88,5,0.0033783783783783786
2023-09-25,3475,868,106,0.03050359712230216
2023-09-26,1684,348,6,0.0035629453681710215
2023-09-27,3827,269,28,0.0073164358505356675
2023-09-28,3894,1045,128,0.03287108371854135
2023-09-29,627,175,12,0.019138755980861243
2023-09-30,2565,167,26,0.0101364522417154
2023-10-01,2316,276,8,0.0034542314335060447
2023-10-02,1069,268,6,0.005612722170252572
2023-10-03,2395,567,84,0.03507306889352818
2023-10-04,3233,310,32,0.009897927621404269
2023-10-05,4363,446,62,0.014210405684162274
2023-10-06,4514,643,59,0.013070447496677004
2023-10-07,3401,582,33,0.009703028521023229
2023-10-08,2186,447,74,0.03385178408051235
2023-10-09,3509,499,80,0.022798518096323737
2023-10-10,654,108,15,0.022935779816513763
2023-10-11,3037,719,44,0.014487981560750741
2023-10-12,1909,112,13,0.006809848088004191
2023-10-13,4557,515,40,0.008777704630239193
2023-10-14,1284,293,8,0.006230529595015576
2023-10-15,3675,1006,185,0.050340136054421766
2023-10-16,4841,861,30,0.006197066721751705
2023-10-17,3306,605,115,0.03478523895946763
2023-10-18,1037,79,7,0.006750241080038573
2023-10-19,2341,378,17,0.007261853908586074
2023-10-20,2955,541,61,0.020642978003384094
2023-10-21,1024,113,19,0.0185546875
2023-10-22,3450,404,60,0.017391304347826087
2023-10-23,4631,668,109,0.023537033038220686
2023-10-24,4615,253,34,0.007367280606717226
2023-10-25,2868,374,52,0.01813110181311018
2023-10-26,4347,447,76,0.017483321831147917
2023-10-27,4995,658,37,0.007407407407407408
2023-10-28,3201,255,26,0.008122461730709154
2023-10-29,1471,401,20,0.013596193065941536
2023-10-30,1666,330,65,0.039015606242496996
2023-10-31,3274,719,136,0.04153940134392181
2023-11-01,2482,613,10,0.0040290088638195
2023-11-02,1353,236,33,0.024390243902439025
2023-11-03,4646,333,61,0.013129573826947911
2023-11-04,4236,780,34,0.008026440037771483
2023-11-05,4269,839,98,0.022956195830405247
2023-11-06,1074,253,46,0.04283054003724395
2023-11-07,3761,593,9,0.0023929805902685457
2023-11-08,1648,134,19,0.011529126213592233
2023-11-09,2215,267,17,0.007674943566591422
2023-11-10,4354,612,113,0.025953146531924667
2023-11-11,2991,632,122,0.04078903376797058
2023-11-12,3160,608,115,0.03639240506329114
2023-11-13,3624,503,50,0.01379690949227373
2023-11-14,3551,1053,182,0.051253168121655875
2023-11-15,504,101,17,0.03373015873015873
2023-11-16,1376,150,10,0.007267441860465116
2023-11-17,1491,112,18,0.012072434607645875
2023-11-18,4642,409,6,0.0012925463162429987
2023-11-19,4864,542,66,0.013569078947368422
2023-11-20,4965,447,24,0.004833836858006042
2023-11-21,1135,109,3,0.0026431718061674008
2023-11-22,2193,265,6,0.0027359781121751026
2023-11-23,2182,203,28,0.012832263978001834
2023-11-24,619,169,12,0.01938610662358643
2023-11-25,1330,93,13,0.009774436090225564
2023-11-26,4175,756,16,0.0038323353293413173
2023-11-27,1869,285,19,0.010165864098448368
2023-11-28,1240,366,41,0.03306451612903226
2023-11-29,616,48,7,0.011363636363636364
2023-11-30,3338,498,35,0.010485320551228281
2023-12-01,1650,482,62,0.037575757575757575
2023-12-02,2431,647,115,0.04730563554092966
2023-12-03,1512,384,48,0.031746031746031744
2023-12-04,2164,247,13,0.006007393715341959
2023-12-05,1581,146,2,0.001265022137887413
2023-12-06,1012,219,38,0.037549407114624504
2023-12-07,3349,945,13,0.003881755747984473
2023-12-08,1059,200,35,0.033050047214353166
2023-12-09,4172,804,88,0.02109300095877277
2023-12-10,3843,461,86,0.022378350247202708
2023-12-11,4570,1107,179,0.039168490153172864
2023-12-12,1970,190,37,0.018781725888324875
2023-12-13,1080,141,10,0.009259259259259259
2023-12-14,2794,436,67,0.023979957050823193
2023-12-15,3647,645,55,0.015080888401425829
2023-12-16,4749,525,53,0.011160244261949883
2023-12-17,2179,171,22,0.010096374483708122
2023-12-18,4006,811,142,0.03544682975536695
2023-12-19,3244,396,78,0.02404438964241677
2023-12-20,3856,753,117,0.030342323651452282
2023-12-21,4545,402,35,0.007700770077007701
2023-12-22,1743,296,26,0.01491681009753299
2023-12-23,3618,662,99,0.02736318407960199
2023-12-24,2641,166,9,0.0034078000757288905
2023-12-25,3559,477,14,0.003933689238550154
2023-12-26,3459,289,22,0.006360219716681122
2023-12-27,2765,182,11,0.003978300180831827
2023-12-28,2979,886,58,0.019469620678079894
2023-12-29,2135,278,15,0.00702576112412178
2023-12-30,2257,569,10,0.004430660168365086
2023-12-31,4952,562,7,0.0014135702746365104
