Promotion Exposure,Cart Items,Discount Rate (%),Loyalty Member,Used Promotion
7,6,36.348227204782546,1,1
2,6,27.306668760435098,1,1
9,6,46.990725548373874,1,1
10,2,24.759300436287283,0,1
2,3,49.11960066216673,1,1
19,6,28.052814075956828,0,1
11,8,10.142859649909076,0,1
13,1,39.41604376066748,0,1
10,1,35.55039762850282,1,1
14,2,39.7844024587514,1,1
18,6,47.814891292655645,1,1
19,9,39.942018619295816,0,1
9,4,32.510147099749105,0,1
7,3,43.57890060623784,1,1
3,8,35.29608977095392,0,1
6,9,23.36535755716654,0,1
2,5,44.852889390879795,1,1
6,9,14.98552073529678,1,1
3,2,37.15885737089259,1,1
16,3,44.670355472334066,0,1
8,7,37.909243386648335,0,1
2,7,36.37739385742356,0,1
17,6,38.86872323323262,0,1
9,6,25.927486173528997,0,1
12,2,44.33768069706617,1,1
3,6,14.154641381124105,0,1
11,4,10.732388720015269,0,1
1,3,17.84789510533302,0,1
13,2,28.92098285487469,1,1
15,1,27.975280793420215,1,1
5,5,41.9269440954464,1,1
17,2,23.20558953818078,0,1
6,2,26.79549918311789,1,1
11,7,5.601545746672803,1,1
18,8,23.438265639932258,1,1
4,8,34.1498404827654,0,1
3,4,5.697874878196648,1,1
13,1,17.639688433380968,0,1
9,7,14.358036168022547,0,1
6,1,6.88934430093147,1,1
12,4,26.566704046154186,0,1
2,8,13.177548195267043,1,1
3,2,38.4386692834121,0,1
3,6,43.156754769350684,1,1
12,6,29.55133322011165,1,1
15,9,49.17683041345137,1,1
9,5,25.27153571617679,0,1
8,4,28.101569460121198,1,1
11,5,49.514798928098756,0,1
16,5,15.419679618427196,1,1
4,8,47.414567285460734,0,1
1,8,6.927689980360096,0,1
7,2,25.087410061843766,1,1
2,7,8.15015804598796,1,1
5,8,37.81556343111394,1,1
7,6,32.3784021146008,1,1
4,5,36.79854185604184,1,1
5,9,21.851617998560762,0,1
1,3,21.626687031412114,1,1
1,4,7.0393675532402575,1,1
15,9,20.74752227883379,0,1
19,6,46.817978101792676,1,1
10,8,22.065194173120204,1,1
18,7,42.41154677998865,0,1
3,2,42.90464771374703,1,1
11,3,21.795852037065522,1,1
15,1,33.43949061782851,1,1
11,9,9.291722102287638,0,1
17,7,9.665536133042442,1,1
17,1,7.189594864777099,0,1
6,3,31.145679201879926,1,1
5,4,24.173193993174365,0,1
8,4,29.661456049890806,1,1
2,5,28.448293572877454,0,1
16,3,20.759134599082863,0,1
12,3,35.486303667056276,0,1
6,1,39.13258464123758,0,1
1,7,5.658271649495407,0,1
4,1,14.325903489599524,0,1
17,2,37.095614063750155,1,1
13,4,22.39790776852254,1,1
18,4,34.81177761237237,0,1
5,5,20.613319688055128,0,1
3,2,22.58398185483367,0,1
11,4,12.140549316035822,0,1
13,1,16.6203958849772,1,1
4,2,32.243529087841424,0,1
14,1,24.492340009182488,1,1
11,4,39.84362073250678,1,1
10,4,43.366322972225426,0,1
19,7,29.374088819754192,0,1
18,9,39.12202814252266,1,1
6,9,18.81070309375565,1,1
15,5,23.67370469300352,0,1
10,1,37.074995429757394,0,1
5,1,22.37953967676638,0,1
5,6,31.482722082154496,1,1
10,2,13.341775058713017,1,1
5,8,31.98970917367241,0,1
3,9,43.768116825210214,1,1
6,4,44.08878379205415,1,1
4,5,37.59549828482928,0,1
18,8,38.55890205842567,0,1
9,3,30.106735031781533,1,1
17,5,31.310064057462114,1,1
13,3,11.01427616347331,0,1
15,3,24.97366347895855,0,1
17,3,25.28493277488637,0,1
13,7,48.132402605048306,0,1
16,7,24.398908818048024,0,1
4,7,29.720419020624092,1,1
5,8,28.99631296755961,1,1
5,5,33.654277266994725,1,1
9,5,38.670477409935316,1,1
17,4,15.126884427689246,0,1
13,7,28.792598859429607,0,1
2,4,42.166296829221366,0,1
13,2,25.840162122688017,1,1
19,4,17.530589586810784,1,1
3,8,34.46190839103346,1,1
10,9,42.06953281096053,0,1
2,3,7.841313181732609,1,0
13,7,39.95557175332522,0,1
19,9,41.974156983279705,0,1
17,4,25.768531741487305,0,1
14,3,49.24875455683103,0,1
12,5,40.40187533182891,0,1
12,1,39.81481542030496,0,1
11,3,38.65273584854323,1,1
7,8,11.777364644822331,0,1
4,8,14.775389890385487,0,1
19,4,25.879555915899125,1,1
1,2,16.880195748175964,0,0
3,8,23.68584375503182,1,1
13,8,44.98088494653143,1,1
15,4,42.094710134567116,1,1
2,3,33.3517945315992,0,1
11,2,43.61541774129966,0,1
4,9,40.26975750577621,1,1
19,1,24.30432193284007,0,1
17,7,14.04793184224753,0,1
3,5,28.139046800420264,1,1
18,8,38.13029971378476,1,1
8,4,24.638881942831684,0,1
19,7,35.004735940275374,1,1
5,5,9.244734183096963,1,1
7,5,38.66021313671315,1,1
8,9,41.57211289518779,0,1
5,9,36.807703510124355,0,1
17,9,48.52686143868645,0,1
5,6,42.19934258572882,1,1
4,6,45.639217754444225,0,1
19,5,47.01069875559416,1,1
2,9,41.06065963432138,0,1
11,8,35.341647890292464,0,1
13,7,5.257336161235518,1,1
