Visits Per Month,Avg Purchase Amount ($),Customer Support Calls,Used Discount,Churn
21,17.499224742288526,7,1,1
2,467.38379095894663,8,0,0
20,255.509543118477,6,0,0
28,274.29494971603066,3,1,0
15,345.14224700508913,5,0,0
28,311.76707055105777,4,1,0
7,472.506886234771,7,1,0
12,472.683282591332,0,1,0
29,434.92747744195185,0,1,0
8,321.8377627485455,5,0,0
15,402.4651543943759,9,1,0
3,341.812487767661,1,0,0
14,290.9498504192473,4,0,0
17,72.965173084616,0,0,0
4,407.49004660064145,6,0,0
18,412.1133431145381,0,0,0
8,316.7104383497707,3,0,0
4,412.00915344792134,8,0,0
2,329.2275382103161,0,0,0
6,111.27533633960523,3,0,0
22,144.24095238735555,5,0,0
10,115.14866865710333,5,1,0
4,194.85695078170818,7,1,0
22,29.091934832014477,0,1,0
29,312.9444033255675,6,0,0
18,174.91156529547598,0,1,0
26,331.30409133656366,6,1,0
12,198.84434427312686,2,1,0
2,343.99069779666695,7,0,0
10,176.9060390374776,2,0,0
4,137.74031883559252,0,0,0
14,253.05835260376904,7,0,0
16,349.5162757590503,2,1,0
15,180.6849361820667,1,1,0
8,468.9575944092966,0,1,0
14,29.201300071066665,2,1,0
23,214.7935555406336,1,0,0
28,484.1144702449213,1,0,0
25,278.5062227915628,5,0,0
8,217.5007617309781,0,1,0
21,288.57493903747957,1,0,0
16,292.20304187646144,5,0,0
13,368.5074000968237,2,1,0
18,72.56796741700813,3,1,0
15,132.50806011589128,0,0,0
21,294.4665660485158,7,0,0
24,434.8871375327638,6,0,0
26,285.3146791504491,6,0,0
25,126.91246129726669,2,0,0
28,343.12394215112045,9,0,0
28,372.5552926192135,9,1,0
28,126.73571467794993,2,1,0
13,195.08715422638448,1,1,0
9,271.82046202997606,0,0,0
29,253.31498343470807,6,1,0
15,200.9128622474097,6,0,0
13,155.84123550956232,1,0,0
1,58.99259470931305,6,1,0
25,36.207795406210764,7,0,0
7,479.6853334727672,0,0,0
9,425.100140606839,8,1,0
24,183.90354332673311,6,1,0
1,478.83243371196363,2,1,0
12,341.6172531679086,7,0,0
8,246.4352653248948,6,1,0
24,251.58257230818444,7,1,0
11,50.80936148567723,5,0,0
19,54.93503215665573,8,1,0
17,305.1960536915483,4,1,0
8,281.3144956494424,2,1,0
3,114.2366685618722,2,0,0
3,473.6353260120282,0,0,0
1,392.83506473088926,7,0,0
27,65.59765498854952,1,0,0
5,466.1552617867734,2,1,0
10,487.381622181861,7,0,0
7,498.00630859486125,7,0,0
26,37.37686579190152,3,1,0
9,371.1474228275943,3,1,0
28,277.49872738084457,4,1,0
7,355.8574271005603,5,0,0
9,484.6394525473261,4,0,0
8,347.13470498576913,6,0,0
12,420.11229837631316,1,1,0
2,434.76566560231225,6,1,0
1,420.8555742443527,9,0,1
16,218.78482277300114,6,1,0
23,119.06244460980496,0,1,0
23,204.3592849575834,6,1,0
24,447.02948530062054,4,0,0
5,81.83636262909249,2,1,0
3,261.52982265927255,2,1,0
12,124.28175548801863,3,0,0
8,294.83965444112334,1,0,0
22,432.9378757746119,1,1,0
27,441.3763846328242,0,1,0
3,125.97574490421859,4,0,0
1,454.7699161107877,3,0,0
3,300.02548202242934,9,1,0
5,181.60694088315364,1,1,0
15,357.0087858357679,2,1,0
14,246.0168241024165,6,1,0
3,195.2139191599047,6,0,0
1,355.49133850536333,3,1,0
5,131.8748356708411,4,1,0
26,171.8237392193583,4,0,0
23,222.88140379925295,5,1,0
14,134.304265197838,8,0,0
7,208.54902252289438,1,1,0
27,290.0217823504552,4,1,0
9,373.0771918462275,2,0,0
15,385.9254780232001,3,0,0
15,413.16727241957966,9,1,0
26,374.663711902216,5,1,0
10,343.7093192774854,7,1,0
28,126.37817093331027,0,0,0
13,206.10921750729216,9,1,0
19,244.08029653131155,7,0,0
7,50.61674762974357,6,0,0
17,268.9013594356325,0,1,0
20,223.80455748721243,1,0,0
29,403.0335320230997,2,1,0
4,489.1713276895927,0,1,0
5,282.44246893486644,8,1,0
23,168.116330256016,7,1,0
7,31.266383816104653,1,1,0
13,463.07523180956207,8,0,0
15,460.3667004865431,6,0,0
11,133.96518231472817,8,1,1
29,350.7514503222573,5,1,0
4,46.96292807398694,5,0,1
13,91.44556163553393,3,0,1
7,116.2364622273807,9,0,1
27,154.30203395132062,9,0,0
19,497.95737376439166,1,1,0
22,351.4932773732693,6,1,0
28,198.25889737581775,4,0,0
2,371.17934586307945,5,1,0
10,458.4746274178621,1,0,0
13,479.76417962984465,4,1,0
25,38.353309901276624,9,0,1
21,203.31568131798363,3,1,0
6,62.31047230858335,8,0,1
28,174.47343175051196,5,0,0
28,93.1431529088271,1,1,0
12,326.9556972176747,0,0,0
12,200.25150815503736,4,1,0
20,122.40342539542533,8,1,1
11,140.30958323247708,5,0,0
26,186.56909665058146,9,1,0
23,137.37543279858872,6,1,0
28,232.0880149461272,4,1,0
25,25.83481604372873,9,1,0
7,147.0841185127834,5,1,0
1,211.49129322737124,4,0,0
1,305.36312219141627,8,1,0
25,142.76924483241365,5,1,0
27,75.26071135963736,7,1,0
25,47.33818600358994,1,1,0
20,470.86059529633786,8,1,0
13,214.15313829185482,4,0,0
9,294.7696843786049,6,1,0
3,460.3965103994242,9,0,0
7,50.54672581730001,0,0,0
6,439.56412810363844,9,0,0
8,280.2780575465943,4,0,0
27,90.76878795713047,9,1,0
9,211.51500712683085,1,0,0
5,391.0251190302605,5,0,0
1,245.3813401145138,0,1,0
19,492.7901648260971,2,1,0
10,194.60209526959096,4,1,0
12,377.2933669882753,3,0,0
24,202.56482999964098,2,1,0
15,416.29046814619204,9,1,0
27,288.84991989121636,4,0,0
22,41.12079649910066,7,1,0
24,28.042715141635775,3,1,0
9,75.58753821231026,0,1,0
20,16.69926276522867,6,1,0
17,46.92593957270653,7,0,1
17,348.9400546127669,2,1,0
26,271.8296747644369,5,1,0
20,377.4562672402862,1,0,0
12,457.451218606245,6,1,0
7,296.72327083948124,7,0,0
2,365.7992135952056,5,1,0
3,380.96978900080336,5,0,0
17,195.14676914513535,4,0,0
5,128.1315678415196,7,0,1
17,110.4722109681972,0,0,0
24,133.20679536078126,9,1,0
17,144.6185805426953,3,0,0
27,111.54154801394766,3,1,0
17,440.3281270648042,2,0,0
2,380.92957476439204,2,0,0
2,32.97926921769776,3,0,1
28,141.6495161924006,0,1,0
22,20.870523594847796,1,0,0
23,254.10094145648753,8,1,0
5,243.34324142661694,9,1,1
1,417.3720301306256,1,1,0
1,160.81084748781421,4,1,1
19,410.02901025440053,8,1,0
2,484.3071450655133,8,1,0
21,53.320029449166825,7,1,0
12,397.9907413401201,0,1,0
26,299.0783895974417,0,1,0
6,245.22252383905283,8,0,0
23,216.0625315458868,7,0,0
4,394.48744933271166,9,0,0
23,323.28706491737876,8,0,0
11,404.4718870844873,6,0,0
24,452.54401875154684,2,1,0
27,312.4592189276731,2,1,0
17,490.42673529526513,1,1,0
6,307.96304627552377,4,1,0
24,321.95571759491844,2,1,0
5,281.85964818569056,5,1,0
20,54.59102461515184,1,1,0
2,365.93454599861184,2,0,0
6,278.24869038056465,4,0,0
22,230.94611923389115,0,0,0
11,456.1309264176038,0,0,0
16,156.00013125555574,9,1,0
16,266.5651152473555,8,1,0
1,351.84451703179707,6,1,0
9,400.27117008019985,0,0,0
28,235.0799358936245,7,1,0
27,422.6247933591677,2,1,0
6,386.7696932445448,7,1,0
16,42.45562914741427,4,0,0
29,32.472020538270144,0,1,0
3,314.1947853668247,6,0,0
20,180.23257003045296,4,0,0
28,112.47408762847195,5,0,0
27,294.0284678911518,5,0,0
4,177.36597312370708,7,1,0
19,273.25907418989436,8,0,0
26,235.4583879019503,1,0,0
3,296.5353919150853,8,1,0
19,206.14723956603785,9,1,0
20,351.8571111114966,8,0,0
7,98.23296345115628,9,1,1
20,351.2857184512687,9,0,0
9,211.7139950351888,6,0,0
1,438.4156263786644,0,0,0
8,262.4656668834633,6,0,0
7,486.8240711423511,9,1,0
18,304.9483438150705,4,0,0
8,119.68604229409709,5,1,0
1,412.67741205378013,9,1,0
11,179.0904876329695,6,1,0
28,180.33341509651493,4,1,0
25,25.584293927730915,6,0,0
25,278.8705015116302,8,1,0
18,271.8675168289363,2,0,0
23,184.4358272932732,7,1,0
10,448.1664588190036,1,1,0
3,73.08671516682551,6,0,1
7,171.74876152197615,1,0,0
28,167.5755546932142,3,0,0
16,55.22238725208558,6,1,0
26,245.76124308758367,2,1,0
16,347.0145113770807,1,0,0
25,260.711936638158,9,0,0
20,86.91906453093492,6,0,1
28,194.87012296861556,0,0,0
17,11.271561947986815,7,1,0
2,435.46754244743755,2,0,0
1,51.41333376353415,1,0,0
16,302.66626030516096,2,0,0
12,493.26592797473944,4,0,0
5,272.92941653379296,7,1,0
5,462.7804619626422,9,0,0
27,125.69710122752812,6,1,0
23,382.378150379417,6,0,0
9,270.32021944703166,6,0,0
9,363.0528700818178,7,1,0
3,40.54726763050831,0,0,0
19,82.39215503405109,3,1,0
16,75.22729500786434,5,1,0
16,346.71109764763224,8,0,0
3,423.7759295904781,1,1,0
20,377.3119536842078,0,1,0
24,24.931354839461136,9,1,1
22,434.9353407266144,1,1,0
24,183.53186868863148,6,1,0
1,204.61027792700042,2,1,0
24,61.38589160091564,9,1,0
20,371.32855098597133,1,1,0
11,99.31910045321945,6,0,1
17,286.34289508922984,1,0,0
8,421.94789308018625,2,1,0
4,53.71012106890753,6,0,1
6,272.31442636760653,3,1,0
8,124.2760416594026,0,1,0
20,178.03416349634753,4,0,0
3,242.24527130097252,8,1,0
16,184.00110860685933,7,1,0
25,327.92319174287223,8,1,0
3,244.9952298595826,9,1,1
25,296.25774750994293,8,0,0
29,371.0430129435073,6,1,0
18,283.29371031571435,3,1,0
14,297.4023629837719,4,1,0
18,286.5846858360942,0,0,0
2,195.5985867161318,0,1,0
22,175.34894859723985,2,0,0
3,450.827224601056,7,0,0
16,307.7020589238507,1,1,0
29,129.7330461776807,3,1,0
9,254.1413719459807,1,0,0
4,171.87075582764786,4,1,0
1,467.50899364233857,8,0,0
4,13.691837935696622,0,0,0
1,120.41307087913883,4,1,0
14,189.02484164028826,8,1,0
21,249.0268023962816,0,0,0
16,426.90058373971164,8,0,0
20,53.064936024670494,7,0,0
24,404.8737945031603,3,0,0
8,37.27020978491792,9,1,1
7,422.733877296109,4,1,0
3,35.30138415851129,4,1,0
17,18.938815899896912,5,1,0
1,351.51111655954656,6,1,0
16,498.6552120365132,7,0,0
12,449.3390288572702,7,1,0
27,292.2392247247734,1,1,0
19,459.52385041191053,8,1,0
22,12.597003134826654,6,1,0
23,487.78290984311985,3,1,0
22,250.4669018368044,3,0,0
14,364.2190873446701,7,0,0
6,412.22212184514274,3,0,0
6,362.04406270991126,5,1,0
13,272.1679987020062,4,0,0
19,243.54354722194188,2,0,0
22,420.90545376428616,9,1,0
8,110.48800447323497,1,1,0
27,484.3170925870748,8,1,0
27,358.36671463000664,9,0,0
2,107.75839439577668,8,0,1
21,370.7611200122592,0,1,0
1,269.62161135874715,9,1,0
28,356.5427468657778,2,0,0
15,386.21195570699103,7,0,0
1,52.772187998940964,5,1,0
5,257.99093861608003,4,1,0
28,466.6870277058977,4,0,0
29,167.114674158162,5,1,0
16,301.00271780337044,6,0,0
19,190.9229359398491,0,0,0
4,232.59130638735883,8,0,1
3,278.81552778969507,2,0,0
17,278.9717701455989,3,1,0
17,108.84792654181555,9,1,0
12,345.4400584611183,0,0,0
28,53.055374508901835,9,0,0
29,78.02413898658999,2,0,0
14,11.32834071302154,1,0,0
21,67.18107142942384,1,0,0
6,241.8514385154272,0,1,0
3,306.9899217173609,7,1,0
28,399.2018304835666,2,1,0
9,62.28263255558367,2,1,0
5,426.8564554080628,5,0,0
24,375.5275175188719,7,0,0
29,210.17396353859928,8,0,0
17,467.13965287897776,8,0,0
14,495.55544346412137,3,0,0
21,110.45088692608626,4,1,0
3,195.8220066322622,1,0,0
28,463.96021755895845,8,1,0
1,363.58230986812583,7,1,0
20,33.566375542402966,2,1,0
29,392.94209605819333,8,1,0
21,415.69103471697105,2,0,0
23,377.74594313500364,8,1,0
1,401.77319415056263,1,1,0
3,414.31501157947065,9,1,0
18,101.33844352619062,8,0,0
25,125.48895557184989,7,0,0
10,320.54169622288686,8,0,0
22,454.8544039266328,4,1,0
26,164.93632532528235,1,1,0
3,298.2702711395778,7,0,1
8,344.6612110743949,5,1,0
14,231.45481463652922,7,0,0
24,359.75340287910973,4,0,0
18,450.83704819316483,9,1,0
15,315.80975664910045,1,1,0
22,274.4927203381702,5,1,0
23,224.98489094028614,4,1,0
2,292.9682727440016,4,0,0
27,184.12760139101397,0,0,0
10,201.82623399873594,1,0,0
2,270.61016504720527,7,0,0
26,42.64336507150031,2,0,0
17,122.2224415531502,9,1,1
8,275.9961622005704,2,0,0
1,221.44879013685687,7,0,0
9,173.0797350971173,7,0,0
11,367.96907703655774,1,1,0
22,349.9216276276358,7,1,0
16,91.69807239675775,0,1,0
7,440.52826653298473,5,1,0
29,252.75757693794316,7,0,0
10,373.3158464581323,2,0,0
23,290.84391613612047,7,1,0
26,498.8693818026832,0,1,0
3,378.6775288190231,8,0,0
18,356.42042600929494,8,0,0
25,391.500250134868,4,1,0
24,80.13271291875012,9,1,1
13,110.226850653037,3,1,0
28,359.8914002895709,5,1,0
26,252.0509286941227,6,0,0
7,379.77129301145715,4,0,0
25,60.42885506463106,9,0,0
4,272.8758622274514,8,1,0
13,195.62256712288868,2,1,0
20,233.93010744802237,6,0,0
1,305.93935731553114,9,0,0
8,256.1212902566398,9,0,1
14,274.53171218529,4,0,0
16,248.31516617784783,6,1,0
14,210.38803677189168,1,0,0
12,388.2221704931401,3,0,0
19,15.979505435841812,1,0,0
23,303.2369235905612,6,0,0
15,287.0990901882572,1,0,0
28,360.92774661914655,0,0,0
