Trial Days,Email Interaction,App Usage (hours),Previous Purchase,Subscribed
14,1,6.039578720725125,1,1
16,2,5.022883474625301,0,1
15,0,5.398606371128367,0,1
8,0,4.863574819956078,1,1
14,2,4.089551770854932,1,1
23,4,7.71881980598245,0,1
28,2,0.12203072318044517,0,0
25,0,5.9844270120522705,0,1
8,0,5.655083473229738,0,1
21,7,7.161790747329522,0,1
16,9,5.990293647773265,0,1
13,1,8.267988278090783,1,1
18,2,9.590747945640278,1,1
15,1,3.425242571785434,1,1
21,2,2.2735098302998704,0,0
24,6,4.235968624204829,1,1
26,0,2.8792961647572612,0,0
25,9,6.149502631526545,0,1
28,7,9.118524088429647,1,1
28,9,1.3911619414306187,0,1
28,9,1.007946030158865,0,0
13,9,2.560155318536622,1,1
9,1,7.260955860624008,1,1
29,2,5.929629052588216,1,1
15,8,1.022126642251996,0,0
13,6,9.187505222607465,1,1
1,3,7.900846371240867,1,1
25,9,0.23022604787637513,0,0
7,4,6.513672109882461,1,1
9,1,7.71246668519738,1,1
24,7,3.74435369720422,1,1
1,3,0.6892153936721879,0,0
12,8,0.7732106548878726,0,1
8,4,1.042469660518095,0,1
24,8,8.40439631980423,0,1
11,3,9.106861982557131,1,1
19,9,1.228107818457338,0,0
17,4,2.359060345950812,0,1
8,8,1.6552051036728976,1,1
3,7,1.8632087949412068,1,1
3,2,8.374907890024922,1,1
1,0,3.3214641265493894,0,1
27,2,3.114442640456412,0,0
5,3,2.2739562087711263,0,1
10,1,6.0789439379425865,1,1
7,0,3.7930569838554886,1,1
26,6,7.442496518432888,0,1
9,7,2.055798083756375,1,1
28,6,7.877898887144924,1,1
7,4,6.03721531730139,1,1
9,0,1.1426730005568775,0,0
8,6,4.145045842036277,1,1
12,6,8.63518140612957,1,1
2,8,9.229602317984849,0,1
1,2,4.657001223188132,0,1
16,8,4.808369780890736,1,1
23,0,9.184547249393011,1,1
23,0,5.870682241365673,0,0
24,3,0.3284667024343835,0,0
5,8,9.127494628791288,1,1
3,5,2.482264427571519,1,1
12,2,5.776319540915472,1,1
8,0,1.6551331742797382,1,0
22,3,0.33879160246594986,0,0
27,8,3.114731711327574,1,1
3,2,7.804957075460877,1,1
1,8,2.775871726294181,0,1
3,6,2.2009721408109706,1,1
5,3,2.126807843412263,0,1
15,2,5.151736824068126,1,1
14,9,9.755413156827563,1,1
3,4,4.58988988017013,0,1
1,4,5.573053688900479,0,1
5,2,8.606320178907339,1,1
26,8,5.350697189336586,1,1
23,3,1.844628714188561,1,0
14,4,2.9959591176647704,0,1
7,3,3.099369262686109,1,1
27,4,3.973181154575979,0,1
9,6,4.267889053367494,0,1
15,8,7.997820220742694,1,1
15,6,3.49386999049333,0,1
26,4,4.682318284413793,1,1
10,9,6.249759870510523,1,1
28,9,3.777259474401693,1,1
13,6,8.36564813292333,1,1
19,9,5.874536042340743,1,1
7,4,2.9404467922097153,0,0
17,2,7.140591997898282,0,1
20,6,5.2764773014478585,1,1
29,1,5.344558912572469,1,0
4,8,4.810879483875859,0,1
5,9,4.9701194882124895,0,1
23,9,7.6535628106624065,0,1
7,0,1.0298147933131552,0,0
13,5,3.3436281131048218,1,1
15,6,0.7550336380388922,1,1
11,7,7.5324622074745085,0,1
29,9,2.7230185472029946,1,1
4,8,8.974304098188842,0,1
13,1,5.265784666592937,1,1
7,9,8.007497714861211,0,1
27,1,9.789314356159611,1,1
19,4,8.397888594565705,0,1
22,4,8.669937600115235,0,1
28,5,4.079844953648447,1,1
2,2,5.517225952593398,0,1
10,7,2.538885640433043,1,1
13,0,1.961130996934528,1,1
25,5,5.055078791060338,0,1
21,3,5.950489797004206,1,1
6,0,3.3927124589619098,1,1
28,6,5.694435177635003,1,1
28,8,8.87460482513503,1,1
12,3,5.567215847833661,1,1
12,3,7.2081309631050665,0,1
20,5,8.053149673579052,1,1
11,2,9.887287819554428,1,1
26,5,6.031974021769796,1,1
23,6,8.06850148962586,1,1
28,9,9.626493185548746,1,1
25,9,9.444097255772734,0,1
7,2,1.4108184877771357,1,1
1,6,4.06392308273522,0,1
1,2,3.239900611067996,0,1
25,1,0.8692501495034932,0,0
27,9,6.332407749109605,0,1
25,3,7.359046131960023,1,1
20,7,8.481280954668835,0,1
13,8,1.227768896627085,0,1
9,6,8.764440758752938,1,1
3,0,6.429255636142532,1,1
7,2,7.0394613513850945,1,1
6,8,9.10624003540304,0,1
8,0,6.247612710432511,1,1
27,8,3.358658571498351,1,1
9,7,8.251073314226598,0,1
5,0,3.6305921219509054,1,1
1,5,0.34228110820529123,1,1
19,4,8.306545065652497,1,1
10,5,3.451921448812756,1,1
12,9,7.738345232013403,0,1
24,4,3.6275789466594546,1,1
15,5,8.610680199747216,1,1
27,4,2.195105250809587,0,0
22,4,9.745472651988699,1,1
24,3,7.797587747880308,0,1
9,2,1.1423792592039683,1,0
20,2,5.657766199665605,0,1
17,3,9.853673122417346,0,1
17,8,4.710654526938144,0,1
26,1,1.8210713882158325,0,0
20,8,4.8477836715034615,1,1
12,0,5.124576558819216,0,1
7,0,7.4168694422866555,1,1
2,4,6.988458531609044,0,1
3,5,4.025500435969805,0,1
17,5,2.180231074940865,0,1
5,2,6.450541677693295,1,1
17,6,4.217039345532818,0,1
24,8,1.322762111253304,1,1
17,9,9.005723012363857,1,1
27,7,6.912218576096544,1,1
17,5,6.831838564454814,1,1
2,7,8.225838759116739,1,1
2,4,5.2966167865508105,1,1
28,7,8.150544284024571,1,1
22,9,4.980907535110058,1,1
23,3,0.6717539991571009,1,1
5,9,4.052480880276887,0,1
1,7,4.9746489397989055,0,1
1,9,7.202025816322958,0,1
19,1,1.0657873012867436,0,0
2,4,1.40018538660449,0,0
21,8,2.6368380263461644,1,1
12,3,2.664983933708822,1,1
26,5,7.321845784590623,1,1
6,0,2.5073066056159776,1,1
23,8,6.330980633574476,1,1
4,0,4.942738501382714,1,1
23,4,5.732943781794006,1,1
11,3,8.381069631782958,0,1
24,2,4.043815015490243,0,0
27,5,7.709113770642705,0,1
17,1,4.2203605955068735,0,1
6,2,3.5387137656124947,1,1
24,4,9.586271773132205,1,1
5,8,1.8437092067896321,1,1
20,1,0.9033696057760787,0,0
2,9,7.709859255354785,1,1
6,7,0.6824970535409158,1,1
22,1,8.370789907030293,1,1
11,4,4.3719339635724355,0,1
16,6,9.15513677291914,1,1
16,7,7.215328611219056,0,1
1,0,6.104046670079576,0,0
9,5,9.493067970577657,0,1
28,0,3.9664937305205425,0,0
27,1,9.54086936539633,1,1
6,0,1.3500127742120693,0,0
16,4,4.8375494193241275,0,1
29,9,2.699112223921949,1,1
3,8,5.398427789081934,1,1
20,5,1.6201387789158461,0,1
28,0,8.415296603100433,1,1
27,0,8.464078493145573,0,1
4,1,9.55236312723479,0,1
19,8,1.5467214088323622,0,1
26,2,6.233325509049907,0,1
3,0,4.742373087003696,1,1
19,4,3.4438373204423325,0,0
20,6,3.515401611342188,1,1
7,5,4.127935506067523,1,1
20,0,7.049255496889531,1,1
9,4,5.982860582681546,1,1
1,4,4.596815127611311,0,1
8,5,0.7593341036962209,1,1
7,2,0.7776534407895708,0,0
18,4,0.023393906257782593,1,0
8,6,9.676993882070864,1,1
1,4,0.05253818558384915,0,0
11,4,1.0309374601374488,0,0
28,4,3.145965568094109,0,0
25,9,8.074302518167611,1,1
25,9,9.620987857641177,1,1
18,2,7.900135587918561,0,1
23,0,6.905602324456406,0,1
10,4,5.213006674135694,0,1
3,8,0.8670521186218361,0,1
7,0,9.581707930039304,1,1
28,2,7.583924139456815,0,1
16,3,6.389493853342618,0,1
26,0,7.590358455388499,0,1
16,0,7.241033292731386,0,1
25,7,6.372315797894869,1,1
20,1,9.805768001799882,0,1
28,7,9.03363812636025,1,1
17,6,6.4666491911716335,0,1
2,9,6.931752114569248,0,1
1,9,0.5159580665871,1,1
16,1,6.699174645500392,0,1
12,5,0.44165437710100175,1,1
5,5,5.882637569699311,1,1
5,2,9.993534995658349,0,1
27,1,5.558065814371797,1,1
23,0,4.732101180813334,1,1
9,5,3.1285485650558753,1,1
9,4,1.2052257878646444,1,1
3,8,7.310236714582816,1,1
19,0,1.9259902778563043,1,0
16,6,1.1528202124728437,1,1
16,4,4.2176265973051255,1,1
3,4,7.953418379590974,0,1
20,1,7.450645481202204,0,1
24,2,0.5488261464647493,1,0
22,6,4.551436850361561,0,1
24,5,5.22434576071169,1,1
1,1,6.445466506258222,1,1
24,5,6.501673504432281,0,1
20,1,3.646972494573059,1,1
11,1,5.60677194003514,1,1
17,1,4.810618838440864,1,1
8,2,8.849983565232812,1,1
4,1,5.302651326349002,0,1
6,3,4.410321617481616,1,1
8,8,4.044854496818507,1,1
20,5,5.724277594334657,1,1
3,0,8.039769794008976,0,1
16,7,5.384014903807875,1,1
25,6,6.6165517508054155,0,1
3,9,7.37855766906525,0,1
25,2,5.2016810987873185,1,1
29,0,4.268170566548644,1,0
18,4,8.766653778624494,0,1
14,3,4.175060840278921,1,1
18,9,4.6194285057558755,0,1
2,7,9.903413133417772,0,1
22,0,0.002375235758845795,1,0
3,9,1.8547290957672247,1,1
16,0,3.8396388991972574,0,0
29,3,9.325899094252529,0,1
9,7,0.7002970574747103,0,1
4,4,0.09485433628498074,0,0
1,1,0.5268383597722859,1,1
4,5,0.8854341061361815,1,1
1,4,0.3759677320626087,1,1
14,1,4.797813268565047,1,1
21,2,5.8075720722732775,1,1
16,8,2.716869710690041,0,1
20,6,3.9828738397563557,1,1
24,6,0.9169933511143014,1,1
8,5,3.3637046382842204,1,1
7,7,5.225191916345231,1,1
3,3,7.3227180718464515,1,1
17,7,0.03346362042979223,0,1
1,3,4.673107665376525,0,1
16,7,2.970028764548822,0,1
12,8,8.528218216919013,1,1
27,2,7.15553315234242,0,1
19,2,5.891085344708948,0,1
22,1,2.772656456967736,1,0
23,9,9.103391020575343,1,1
22,2,0.4510067722032318,1,0
14,2,1.0946759867911515,0,0
6,4,3.9163014054035603,0,1
6,4,1.2443755729685635,1,1
13,1,9.56415697559425,1,1
19,9,7.979893221433834,0,1
22,5,2.5898265160181366,0,0
8,4,5.885542289732454,1,1
27,5,9.823305150800817,1,1
27,0,8.841989781315029,0,1
2,4,6.00798446442198,1,1
21,8,9.037239671752705,0,1
1,9,9.891849098133589,0,1
28,1,7.433528228936241,0,1
15,0,0.6498640948289403,0,0
1,9,4.015802364254874,1,1
5,8,8.378257352832454,1,1
28,9,2.30569195805019,0,1
29,8,8.306425177506245,0,1
16,8,1.2033876203499594,0,1
19,5,0.46945357147813005,0,0
4,7,3.840906114912496,0,1
3,0,0.36731937426613626,1,0
17,9,9.572702629833255,1,1
17,3,8.26205695793966,1,1
12,0,8.007696871298752,1,1
28,7,6.297779229961531,0,1
29,0,2.163240230365535,0,0
14,2,5.182603666763922,0,0
21,3,5.97274072430341,0,1
6,7,5.250315008602682,0,1
3,5,2.602333679515273,1,1
28,9,5.152479243147258,0,1
9,6,4.911863408686266,1,1
5,7,9.963357758067243,1,1
24,1,8.974361480462038,1,1
29,9,4.633807482156199,1,1
17,7,6.229373829351187,0,1
14,2,7.4787160409222855,1,1
21,6,0.3486516023382491,1,1
3,2,8.9492144122784,1,1
28,6,8.601268164179238,0,1
1,1,4.574320977737073,0,1
20,9,3.9116976608037977,0,1
29,5,2.7295937485631496,1,0
21,2,4.7667682833036835,1,1
23,2,0.4437666353323677,0,0
1,8,8.521935333470077,1,1
3,6,0.3542236841854507,0,1
18,4,3.29051365369871,0,1
25,9,9.315894883189898,1,1
10,6,7.352126545234528,1,1
22,8,2.813909605775268,1,1
26,0,2.526490939608851,1,0
3,6,0.05082139818025966,0,0
8,5,6.957142928497502,0,1
14,9,0.48783581673173093,0,1
24,8,5.326025194007621,0,1
18,0,9.621219725920497,0,1
15,3,1.0946886005445389,1,1
22,8,8.944799309680674,0,1
23,3,9.914753351450482,0,1
2,9,0.6151702623923505,0,1
27,2,8.829062691374613,1,1
10,8,5.160790204436166,1,1
2,1,9.0651371944458,1,1
26,3,5.713189419195741,1,1
17,5,6.621120101065646,0,1
8,1,5.437789079973992,0,1
1,7,8.644928803073485,1,1
9,7,7.339099189537017,1,1
11,0,5.212603121804149,0,1
22,2,8.681608040515469,0,1
16,9,2.4528553225533454,1,1
7,8,1.5734065970252598,1,1
29,4,1.604001053300721,1,0
10,5,3.3400887874523786,1,1
23,3,2.386900313010175,0,0
26,9,9.300903505097386,0,1
3,1,1.05834093828584,0,0
18,7,6.989907380395877,1,1
25,5,1.8922153978500589,1,1
24,4,8.816371327703502,0,1
13,8,9.613152881849075,0,1
28,0,4.654700087699836,0,0
26,4,8.790714802281316,0,1
7,5,0.051451707547147674,1,1
25,4,8.199469174081,0,1
4,5,2.286251615249235,0,1
13,5,9.08701309269368,0,1
20,6,0.011201114801094869,0,0
1,3,5.56181735039757,0,1
8,7,7.566358037849347,0,1
14,6,2.5868833069790798,0,1
16,8,1.9313286458729306,1,1
14,6,0.8409822446798465,1,1
12,2,3.2643357650329294,1,1
19,2,5.598443123088295,1,1
23,7,1.1584385678025766,0,1
15,4,3.7669536198679876,1,1
28,3,0.09072404652724964,1,0
